symbol,shortName,price,changePct,volume
PSQL,Pasqal Holding SA,12.19,-21.66,553030
CRDO,Credo Technology Group Holding ,165.22,-20.04,29701428
MDB,"MongoDB, Inc.",375.4,-13.54,7350743
STDN,"Standard Nuclear, Inc.",14.66,-11.47,1398103
PANW,"Palo Alto Networks, Inc.",328.48,-9.28,13170703
FRVO,Fervo Energy Company,17.98,-8.96,19522263
BFLY,"Butterfly Network, Inc.",7.6,-7.09,5308008
DDOG,"Datadog, Inc.",209.23,-6.53,6108678
KVYO,"Klaviyo, Inc. Series A",19.31,-6.44,6223924
EIX,Edison International,55.19,-6.14,12335354
PLTR,Palantir Technologies Inc.,169.46,-5.81,39578542
IOT,Samsara Inc.,36.79,-5.81,5235213
CRWD,"CrowdStrike Holdings, Inc.",203.42,-5.42,12268302
FIG,"Figma, Inc.",25.73,-5.4,9595856
HUBG,"Hub Group, Inc.",35.93,-5.3,1466163
