changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-49467,08-Sep-2026,Index Options,233506,66.9,Call,-10.5,425613.53522,74.75,282973,24000,NIFTY,425613.53522,SS,23897.7,7532383,OPTIDXNIFTY08-09-2026CE24000,OPTIDX,-17.48
-42235,08-Sep-2026,Index Options,77350,119.6,Call,-1.12,348396.40388,120.95,119585,23900,NIFTY,348396.40388,SS,23897.7,3733592,OPTIDXNIFTY08-09-2026CE23900,OPTIDX,-35.32
-38492,08-Sep-2026,Index Options,218310,0.95,Call,-45.71,572.40553,1.75,256802,25000,NIFTY,572.40553,SS,23897.7,752670,OPTIDXNIFTY08-09-2026CE25000,OPTIDX,-14.99
-20436,08-Sep-2026,Index Options,89312,0.55,Call,-38.89,144.61574,0.9,109748,25500,NIFTY,144.61574,SS,23897.7,358848,OPTIDXNIFTY08-09-2026CE25500,OPTIDX,-18.62
-19851,08-Sep-2026,Index Options,45628,0.65,Call,-38.1,101.66373,1.05,65479,25300,NIFTY,101.66373,SS,23897.7,208541,OPTIDXNIFTY08-09-2026CE25300,OPTIDX,-30.32
-17757,08-Sep-2026,Index Options,102403,1.6,Call,-52.94,1057.10548,3.4,120160,24600,NIFTY,1057.10548,SS,23897.7,680467,OPTIDXNIFTY08-09-2026CE24600,OPTIDX,-14.78
-15356,08-Sep-2026,Index Options,171381,32.3,Call,-23.19,118505.30333,42.05,186737,24100,NIFTY,118505.30333,SS,23897.7,3919928,OPTIDXNIFTY08-09-2026CE24100,OPTIDX,-8.22
-13996,08-Sep-2026,Index Options,51947,0.7,Call,-44,121.22899,1.25,65943,25200,NIFTY,121.22899,SS,23897.7,219419,OPTIDXNIFTY08-09-2026CE25200,OPTIDX,-21.22
-12786,08-Sep-2026,Index Options,80421,1.3,Call,-50,596.89093,2.6,93207,24700,NIFTY,596.89093,SS,23897.7,504557,OPTIDXNIFTY08-09-2026CE24700,OPTIDX,-13.72
-12335,08-Sep-2026,Index Options,101389,103.5,Put,-29.54,368782.13414,146.9,113724,24000,NIFTY,368782.13414,SS,23897.7,5505649,OPTIDXNIFTY08-09-2026PE24000,OPTIDX,-10.85
-11167,08-Sep-2026,Index Options,108712,46.8,Call,-16.5,139340.74973,56.05,119879,24050,NIFTY,139340.74973,SS,23897.7,3318427,OPTIDXNIFTY08-09-2026CE24050,OPTIDX,-9.32
-10784,08-Sep-2026,Index Options,31390,1.5,Call,-50.82,418.04799,3.05,42174,24650,NIFTY,418.04799,SS,23897.7,303373,OPTIDXNIFTY08-09-2026CE24650,OPTIDX,-25.57
-10159,08-Sep-2026,Index Options,40994,168.1,Put,-21.54,131452.98766,214.25,51153,24100,NIFTY,131452.98766,SS,23897.7,1241317,OPTIDXNIFTY08-09-2026PE24100,OPTIDX,-19.86
-9923,08-Sep-2026,Index Options,109490,1.05,Call,-48.78,514.28018,2.05,119413,24800,NIFTY,514.28018,SS,23897.7,541918,OPTIDXNIFTY08-09-2026CE24800,OPTIDX,-8.31
-9471,08-Sep-2026,Index Options,30843,251.4,Put,-16.09,54270.85118,299.6,40314,24200,NIFTY,54270.85118,SS,23897.7,351020,OPTIDXNIFTY08-09-2026PE24200,OPTIDX,-23.49
-9039,08-Sep-2026,Index Options,54263,0.75,Call,-44.44,119.66719,1.35,63302,25100,NIFTY,119.66719,SS,23897.7,185963,OPTIDXNIFTY08-09-2026CE25100,OPTIDX,-14.28
-6958,08-Sep-2026,Index Options,42011,0.45,Call,-30.77,31.87017,0.65,48969,26000,NIFTY,31.87017,SS,23897.7,102148,OPTIDXNIFTY08-09-2026CE26000,OPTIDX,-14.21
-6838,15-Sep-2026,Index Options,6682,5.25,Call,-25.53,145.82967,7.05,13520,24750,NIFTY,145.82967,SS,23897.7,38351,OPTIDXNIFTY15-09-2026CE24750,OPTIDX,-50.58
-6595,08-Sep-2026,Index Options,65878,3.5,Put,-47.37,1977.67424,6.65,72473,23400,NIFTY,1977.67424,SS,23897.7,694652,OPTIDXNIFTY08-09-2026PE23400,OPTIDX,-9.1
-4952,29-Sep-2026,Index Options,105840,215.65,Put,-15.73,11303.10322,255.9,110792,24000,NIFTY,11303.10322,SS,23897.7,82231,OPTIDXNIFTY29-09-2026PE24000,OPTIDX,-4.47
-4489,08-Sep-2026,Index Options,33974,0.75,Put,-37.5,92.69867,1.2,38463,22350,NIFTY,92.69867,SS,23897.7,139817,OPTIDXNIFTY08-09-2026PE22350,OPTIDX,-11.67
-3505,29-Sep-2026,Stock Futures,187097,1136.7,-,-0.25,60902.1102,1139.5,190602,0,INFY,60902.1102,SS,1130,13361,FUTSTKINFY29-09-2026XX0,FUTSTK,-1.84
-3207,08-Sep-2026,Index Options,49932,0.85,Put,-19.05,105.45294,1.05,53139,22300,NIFTY,105.45294,SS,23897.7,157510,OPTIDXNIFTY08-09-2026PE22300,OPTIDX,-6.04
-2491,29-Sep-2026,Index Options,38065,317.6,Put,-12.41,3190.33858,362.6,40556,24200,NIFTY,3190.33858,SS,23897.7,15928,OPTIDXNIFTY29-09-2026PE24200,OPTIDX,-6.14
-2294,08-Sep-2026,Index Options,159936,4.1,Put,-61.14,4833.52533,10.55,162230,23500,NIFTY,4833.52533,SS,23897.7,1174754,OPTIDXNIFTY08-09-2026PE23500,OPTIDX,-1.41
