symbol,shortName,price,changePct,volume
ESTC,Elastic N.V.,99.91,19.31,10104560
GAP,"Gap, Inc. (The)",23.48,12.94,26351139
SOLS,Solstice Advanced Materials Inc,63.53,12.76,16437232
TOP,TOP Financial Group Limited,16.73,8.5,246943
TRLV,Trulieve Cannabis Corp. Subordi,11.82,7.16,1363138
FLUT,Flutter Entertainment plc,101.78,7.13,3015667
WDAY,"Workday, Inc.",204.72,5.76,8655791
DPZ,Domino's Pizza Inc,350.0,5.4,1037349
LULU,lululemon athletica inc.,120.81,5.05,3900557
CVI,CVR Energy Inc.,41.76,5.03,929667
NWL,Newell Brands Inc.,6.17,4.91,5832041
DAR,Darling Ingredients Inc.,64.32,4.77,2965462
POST,"Post Holdings, Inc.",85.35,4.74,886856
NOW,"ServiceNow, Inc.",144.71,4.54,28890423
DOCS,"Doximity, Inc.",26.73,4.45,3288414
