symbol,shortName,price,changePct,volume
PLBL,Polibeli Group Ltd,7.47,-25.37,392585
ALHC,"Alignment Healthcare, Inc.",20.03,-16.72,15211796
MAAS,Maase Inc.,14.03,-15.48,174603
IQMX,IQM Quantum Computers Oyj,11.47,-11.02,1071383
SYF,Synchrony Financial,68.26,-9.61,9343976
OLLI,Ollie's Bargain Outlet Holdings,61.88,-9.04,6294794
DSC,DSC Holdings Ltd.,7.06,-8.73,39472
NWL,Newell Brands Inc.,5.06,-8.66,11402059
LMND,"Lemonade, Inc.",71.03,-8.45,2022397
YSS,York Space Systems Inc.,21.0,-8.38,1269431
BFH,"Bread Financial Holdings, Inc.",93.83,-8.33,1264802
ESAB,ESAB Corporation,86.56,-7.93,691331
ARIS,Aris Mining Corporation,14.01,-7.83,2163628
CPRI,Capri Holdings Limited,17.9,-7.83,5013769
EQPT,EquipmentShare.com Inc,16.58,-7.79,3827586
