symbol,shortName,price,changePct,volume
CRCL,"Circle Internet Group, Inc.",62.63,-17.55,37457224
HTFL,"Heartflow, Inc.",29.34,-15.81,4813334
COCO,"The Vita Coco Company, Inc.",66.14,-8.81,2356302
FRVO,Fervo Energy Company,29.23,-7.99,5579387
KARD,"Kardigan, Inc.",23.85,-7.92,808453
SVM,Silvercorp Metals Inc.,10.1,-7.51,3868597
ARX,Accelerant Holdings,11.72,-7.21,1586175
PBLS,"Parabilis Medicines, Inc.",27.37,-6.24,580137
MSTR,Strategy Inc,86.93,-6.2,35316516
GMED,"Globus Medical, Inc.",79.01,-5.87,2418375
DLR,"Digital Realty Trust, Inc.",179.58,-5.77,9024914
LFTO,"Liftoff Mobile, Inc.",24.02,-5.69,1061620
HRL,Hormel Foods Corporation,24.82,-5.66,4955806
ZBH,"Zimmer Biomet Holdings, Inc.",86.09,-5.64,3356842
KFY,Korn Ferry,66.58,-5.59,908337
