symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AMZN,"Amazon.com, Inc.",271.58,36.08,15.32,125921078,48180779,2921415835648
AAPL,Apple Inc.,308.91,-24.52,-7.35,127398021,55602675,4537070911488
NVDA,NVIDIA Corporation,200.75,5.71,2.93,139261166,152600248,4862365925376
INTC,Intel Corporation,90.2,-0.93,-1.02,104550780,130044198,454968770560
NOK,Nokia Corporation Sponsored,9.14,0.05,0.55,86735470,111020540,51024363520
RIG,Transocean Ltd (Switzerland),5.32,0.24,4.72,62752493,36648822,5887965184
RBLX,Roblox Corporation,35.6,-13.07,-26.85,60912137,11508764,25488842752
IREN,IREN LIMITED,36.8,-1.46,-3.82,63471543,49176783,13151535104
ONDS,Ondas Inc,7.49,-0.09,-1.19,58653351,85442996,4268090880
SPCX,Space Exploration Technologies ,108.37,-3.83,-3.41,54866858,113097615,1427686686720
ABEV,Ambev S.A.,3.11,-0.01,-0.32,57167503,27109364,48058191872
SOFI,"SoFi Technologies, Inc.",16.31,-0.16,-0.97,56019639,79587824,21044996096
RIVN,"Rivian Automotive, Inc.",15.22,-1.61,-9.57,54290336,35083782,22028949504
MU,"Micron Technology, Inc.",823.03,-51.63,-5.9,52850199,53414659,929524482048
MSFT,Microsoft Corporation,464.72,13.62,3.02,56468734,39852511,3450799652864
AAL,"American Airlines Group, Inc.",15.27,-0.16,-1.04,47769228,109910020,10108280832
F,Ford Motor Company,14.68,-0.18,-1.21,46174682,64428401,58537906176
NWL,Newell Brands Inc.,5.6,0.46,8.95,44327039,10670748,2379595520
SKHY,SK hynix Inc.,143.73,-5.27,-3.54,45673756,55337186,1020274409472
T,AT&T Inc.,23.25,0.04,0.17,58128621,62014117,159317966848
NU,Nu Holdings Ltd.,14.33,-0.16,-1.1,43036090,74251320,69220843520
PATH,"UiPath, Inc.",12.76,0.39,3.15,39792404,59014966,6611214336
GOOGL,Alphabet Inc.,356.13,22.47,6.73,46347613,32282303,4355446800384
KEEL,Keel Infrastructure Corp.,3.97,-0.08,-1.98,37986337,45646780,2397199872
AMC,"AMC Entertainment Holdings, Inc",2.82,0.05,1.81,39301108,44523277,2517144832
