symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NVDA,NVIDIA Corporation,213.05,4.57,2.19,120441439,140101850,5160284192768
WBS,Webster Financial Corporation,77.57,-0.4,-0.51,91306424,5934084,12568934400
INTC,Intel Corporation,87.48,0.22,0.25,81194224,119335493,462428504064
NU,Nu Holdings Ltd.,15.14,0.38,2.57,76169599,76706588,73136627712
PATH,"UiPath, Inc.",16.66,0.09,0.54,70122731,67256990,8631883776
PLUG,"Plug Power, Inc.",2.27,0.1,4.61,63760800,59445223,3171633152
AAL,"American Airlines Group, Inc.",13.95,0.32,2.35,66527011,106891549,9234480128
BMNR,"BitMine Immersion Technologies,",24.82,0.68,2.82,60960117,37886731,14972078080
SMR,NuScale Power Corporation,9.81,0.76,8.4,55401328,32992752,4025921536
SPCX,Space Exploration Technologies ,137.95,2.95,2.19,52760922,118222322,1817379078144
MRNA,"Moderna, Inc.",158.83,19.94,14.36,49046451,13181673,63410638848
MARA,"MARA Holdings, Inc.",11.83,0.65,5.81,48320502,46306576,4569920512
SMCI,"Super Micro Computer, Inc.",38.46,3.29,9.35,47778511,59155590,24878735360
SNAP,Snap Inc.,5.92,0.39,7.05,45645470,41611265,10011890688
CDE,"Coeur Mining, Inc.",21.59,0.71,3.4,44738747,37207420,22193117184
NKE,"Nike, Inc.",39.48,-1.27,-3.12,41418729,24204844,58568531968
ONDS,Ondas Inc,8.24,0.0,0.0,41436710,87492626,4701350912
DNN,Denison Mines Corp,3.72,0.18,5.08,40320459,24984730,3367120640
SOFI,"SoFi Technologies, Inc.",19.0,0.76,4.17,40063113,76550133,24539836416
BTG,B2Gold Corp,5.87,0.15,2.62,39037585,23644900,7754684928
DKS,Dick's Sporting Goods Inc,124.31,-55.02,-30.68,38563567,1415931,11126060032
GRAB,Grab Holdings Limited,3.58,0.06,1.7,34877619,47085769,14646860800
NOK,Nokia Corporation Sponsored,10.35,0.39,3.92,33633471,101147520,57779228672
F,Ford Motor Company,13.95,0.02,0.14,33446601,55656676,55626960896
IREN,IREN LIMITED,42.21,2.4,6.03,32015763,45698634,15084953600
