symbol,shortName,price,changePct,volume
RAMP,"LiveRamp Holdings, Inc.",37.77,27.34,13085384
BRC,Brady Corporation,84.43,18.98,1020363
BIO,"Bio-Rad Laboratories, Inc.",281.82,13.85,1015750
RBLX,Roblox Corporation,46.98,9.64,13451078
ZETA,Zeta Global Holdings Corp.,19.19,11.63,17147646
DRVN,Driven Brands Holdings Inc.,14.24,9.54,3085342
D,"Dominion Energy, Inc.",67.56,9.44,39863468
YPF,YPF Sociedad Anonima,47.48,8.75,5647398
VCYT,"Veracyte, Inc.",41.5,7.85,1454262
MNDY,monday.com Ltd.,78.04,8.43,2890723
FLY,Firefly Aerospace Inc.,43.95,8.71,9789240
ZS,"Zscaler, Inc.",174.69,8.47,6138744
FDS,FactSet Research Systems Inc.,224.35,5.54,886845
TME,Tencent Music Entertainment Gro,9.06,6.97,15631029
STUB,"StubHub Holdings, Inc.",9.33,5.78,9389376
