symbol,shortName,price,changePct,volume
AEHR,Aehr Test Systems,83.57,-16.01,3906127
USAR,"USA Rare Earth, Inc.",21.275,-12.77,19368664
POET,POET Technologies Inc.,14.21,-11.02,74042011
AAOI,"Applied Optoelectronics, Inc.",173.26,-8.98,13126985
REGN,"Regeneron Pharmaceuticals, Inc.",629.68,-9.82,2995303
INFQ,"Infleqtion, Inc.",11.37,-8.6,11957288
AXTI,AXT Inc,105.88,-14.46,11691084
LITE,Lumentum Holdings Inc.,884.98,-8.83,7123031
SEDG,"SolarEdge Technologies, Inc.",55.23,-10.57,6647012
BW,"Babcock & Wilcox Enterprises, I",20.15,-7.78,5698104
LI,Li Auto Inc.,16.69,-9.83,9646777
NVTS,Navitas Semiconductor Corporati,19.67,-7.74,30415710
POWL,"Powell Industries, Inc.",266.8,-8.83,908167
TSEM,Tower Semiconductor Ltd.,248.07,-9.46,3265347
AMSC,American Superconductor Corpora,50.15,-8.92,1257505
