type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
RS,NIFTY,Index Options,19-May-2026,Put,23400,30.7,73.95,-58.49,183286,80020,103266,7460162,449366.58815,449366.58815,23649.95,OPTIDXNIFTY19-05-2026PE23400,OPTIDX,129.05
RS,NIFTY,Index Options,19-May-2026,Put,23300,19.8,51.35,-61.44,155166,60142,95024,5685653,232273.13918,232273.13918,23649.95,OPTIDXNIFTY19-05-2026PE23300,OPTIDX,158
RS,NIFTY,Index Options,19-May-2026,Put,23350,24.65,61.25,-59.76,93128,26156,66972,4436669,236387.94265,236387.94265,23649.95,OPTIDXNIFTY19-05-2026PE23350,OPTIDX,256.05
RS,NIFTY,Index Options,19-May-2026,Put,22500,2.35,3.6,-34.72,163522,108338,55184,1414928,2648.74521,2648.74521,23649.95,OPTIDXNIFTY19-05-2026PE22500,OPTIDX,50.94
RS,NIFTY,Index Options,19-May-2026,Put,23000,7.05,16.85,-58.16,191868,138336,53532,4057235,43329.24118,43329.24118,23649.95,OPTIDXNIFTY19-05-2026PE23000,OPTIDX,38.7
RS,NIFTY,Index Options,19-May-2026,Put,23450,39.35,87.6,-55.08,68245,21720,46525,3727093,249456.19803,249456.19803,23649.95,OPTIDXNIFTY19-05-2026PE23450,OPTIDX,214.2
RS,NIFTY,Index Options,19-May-2026,Put,23100,9.15,24.3,-62.35,98511,52696,45815,2616772,41519.01293,41519.01293,23649.95,OPTIDXNIFTY19-05-2026PE23100,OPTIDX,86.94
RS,NIFTY,Index Options,19-May-2026,Put,23500,50.35,103.7,-51.45,158225,113835,44390,6927675,510683.95413,510683.95413,23649.95,OPTIDXNIFTY19-05-2026PE23500,OPTIDX,39
RS,NIFTY,Index Options,19-May-2026,Put,23200,12.95,35.25,-63.26,113787,74258,39529,3796515,98511.97122,98511.97122,23649.95,OPTIDXNIFTY19-05-2026PE23200,OPTIDX,53.23
RS,NIFTY,Index Options,19-May-2026,Put,23250,16,42.65,-62.49,60089,23564,36525,2677470,85608.08704,85608.08704,23649.95,OPTIDXNIFTY19-05-2026PE23250,OPTIDX,155
RS,NIFTY,Index Options,19-May-2026,Call,24000,10.7,39.05,-72.6,194092,159412,34680,4908214,37614.09798,37614.09798,23649.95,OPTIDXNIFTY19-05-2026CE24000,OPTIDX,21.75
RS,NIFTY,Index Options,19-May-2026,Put,22000,1.3,1.7,-23.53,148920,115522,33398,736662,737.39866,737.39866,23649.95,OPTIDXNIFTY19-05-2026PE22000,OPTIDX,28.91
RS,NIFTY,Index Options,19-May-2026,Put,22700,3.3,6.05,-45.45,88032,56297,31735,1143011,3417.60289,3417.60289,23649.95,OPTIDXNIFTY19-05-2026PE22700,OPTIDX,56.37
RS,NIFTY,Index Options,19-May-2026,Put,23600,81.2,143.2,-43.3,105580,74160,31420,4856311,431507.5139,431507.5139,23649.95,OPTIDXNIFTY19-05-2026PE23600,OPTIDX,42.37
RS,NIFTY,Index Options,19-May-2026,Call,24200,3.45,16.25,-78.77,113066,82327,30739,2660423,7314.83303,7314.83303,23649.95,OPTIDXNIFTY19-05-2026CE24200,OPTIDX,37.34
RS,NIFTY,Index Options,19-May-2026,Put,22800,4.2,8.35,-49.7,110232,80766,29466,1687420,7195.15888,7195.15888,23649.95,OPTIDXNIFTY19-05-2026PE22800,OPTIDX,36.48
RS,NIFTY,Index Options,19-May-2026,Call,23950,14.7,47.85,-69.28,51926,25171,26755,2368239,24337.20808,24337.20808,23649.95,OPTIDXNIFTY19-05-2026CE23950,OPTIDX,106.29
RS,NIFTY,Index Options,19-May-2026,Call,23600,133.25,175.55,-24.1,68272,41543,26729,7080182,462144.71968,462144.71968,23649.95,OPTIDXNIFTY19-05-2026CE23600,OPTIDX,64.34
RS,NIFTY,Index Options,19-May-2026,Call,23800,42.5,87.6,-51.48,121795,95107,26688,5494914,130688.28711,130688.28711,23649.95,OPTIDXNIFTY19-05-2026CE23800,OPTIDX,28.06
RS,NIFTY,Index Options,19-May-2026,Call,23650,104.1,150.35,-30.76,46780,21253,25527,5112347,285713.73678,285713.73678,23649.95,OPTIDXNIFTY19-05-2026CE23650,OPTIDX,120.11
RS,NIFTY,Index Options,19-May-2026,Put,22300,1.85,2.45,-24.49,78368,53840,24528,583257,803.72814,803.72814,23649.95,OPTIDXNIFTY19-05-2026PE22300,OPTIDX,45.56
RS,NIFTY,Index Options,19-May-2026,Put,22600,2.8,4.5,-37.78,84730,61310,23420,851194,1991.79396,1991.79396,23649.95,OPTIDXNIFTY19-05-2026PE22600,OPTIDX,38.2
RS,NIFTY,Index Options,19-May-2026,Call,24050,7.4,31.3,-76.36,50129,26892,23237,1571297,8957.17854,8957.17854,23649.95,OPTIDXNIFTY19-05-2026CE24050,OPTIDX,86.41
RS,NIFTY,Index Options,19-May-2026,Put,22400,1.95,2.85,-31.58,59226,36062,23164,730310,1153.52464,1153.52464,23649.95,OPTIDXNIFTY19-05-2026PE22400,OPTIDX,64.23
RS,NIFTY,Index Options,19-May-2026,Put,23150,10.85,29.75,-63.53,45482,22682,22800,1996706,40389.36896,40389.36896,23649.95,OPTIDXNIFTY19-05-2026PE23150,OPTIDX,100.52
