symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
SPCX,Space Exploration Technologies ,201.8,9.3,4.83,315224407,384879900,2641734402048
AAL,"American Airlines Group, Inc.",15.71,0.25,1.62,133093749,70078392,10390361088
NOK,Nokia Corporation Sponsored,13.98,-0.84,-5.67,118954336,104614038,78043824128
INTC,Intel Corporation,117.05,-10.81,-8.45,131400739,129582479,588293275648
SOFI,"SoFi Technologies, Inc.",17.71,0.58,3.39,104690458,67999057,22717345792
NVDA,NVIDIA Corporation,207.41,-5.04,-2.37,125087034,164287125,5023677808640
SNAP,Snap Inc.,5.16,-0.55,-9.63,92193086,49683225,8550950400
KEEL,Keel Infrastructure Corp.,5.96,0.3,5.3,63435911,39460039,3598818816
OPEN,Opendoor Technologies Inc,4.75,0.14,3.04,63142850,35856195,4582498816
ACHR,Archer Aviation Inc.,5.44,-0.11,-1.98,55640062,38665798,4149985024
GRAB,Grab Holdings Limited,3.49,0.03,0.87,58565888,52376365,14274099200
NFLX,"Netflix, Inc.",78.72,-2.95,-3.61,62620382,37853888,331474075648
MRVL,"Marvell Technology, Inc.",278.67,-30.21,-9.78,58399992,35559461,243990413312
SMCI,"Super Micro Computer, Inc.",29.22,-1.63,-5.28,53951457,50385612,17573447680
JOBY,"Joby Aviation, Inc.",9.34,-0.33,-3.41,47419159,27916888,9187224576
NU,Nu Holdings Ltd.,12.72,0.29,2.33,47600085,52456217,61841346560
ONDS,Ondas Inc,9.21,-0.3,-3.15,50869463,70157530,4763388928
NIO,NIO Inc.,5.01,-0.19,-3.65,43439749,37791163,12553392128
PLUG,"Plug Power, Inc.",2.71,-0.09,-3.21,42650376,75580103,3780637184
F,Ford Motor Company,14.41,-0.36,-2.44,40839806,57836455,57419423744
RDW,Redwire Corporation,13.5,-1.33,-8.97,40851692,37452131,2685402624
MU,"Micron Technology, Inc.",1020.76,-67.23,-6.18,43671087,51225522,1151145738240
EOSE,"Eos Energy Enterprises, Inc.",6.81,0.43,6.74,39015337,25222363,2312090368
CRWV,"CoreWeave, Inc.",117.03,10.32,9.67,41524609,29128395,63848099840
T,AT&T Inc.,23.16,-0.13,-0.56,39060554,41255842,160923516928
