symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
VAML,VAMLBEN,480.65,5,0,49264804,23227369789.92,457.77,,,537,440,22.88,458.2,478.45,480.65,456.2,2026-06-22 16:00:25
HDFCBANK,HDFCBANKEQN,785.6,0.74,25194765,25194765,19820721625.5,779.8,19-Jun-2026,,1020.5,726.65,5.8,789.9,786.4,789.9,783.1,2026-06-22 16:00:25
RELIANCE,RELIANCEEQN,1324.7,1.16,12931213,12931213,17243513911.24,1309.5,05-Jun-2026,,1611.8,1253.2,15.2,1316.7,1326.5,1344.9,1314.1,2026-06-22 16:00:25
NIACL,NIACLEQN,212.5,5.04,80921087,80921087,17237809952.74,202.31,04-Sep-2025,,218,116.97,10.19,205.5,212.11,218,205.5,2026-06-22 16:00:25
HSCL,HSCLEQN,650,-3.14,24307326,24307326,16197915899.88,671.05,22-May-2026,,718,418.5,-21.05,676.95,655.05,677,648.6,2026-06-22 16:00:25
MTARTECH,MTARTECHEQN,8277,-1.16,1395396,1395396,11598880401,8374.5,04-Aug-2023,,8714,1390.5,-97.5,8396,8294.5,8480,8148,2026-06-22 16:00:25
INFY,INFYEQN,1065,1.29,10178505,10178505,10869116564.25,1051.4,10-Jun-2026,,1728,1030,13.6,1055,1065.4,1080.3,1055,2026-06-22 16:00:25
BSE,BSEEQN,4033,0.32,2487812,2487812,9988192008.2,4020.2,10-Jul-2026,,4446.8,2021.5,12.8,4035,4032.7,4055,3982.1,2026-06-22 16:00:25
TCS,TCSEQN,2129.5,0.21,4566101,4566101,9752187193.78,2125,25-May-2026,,3538,2059.9,4.5,2132.2,2127.8,2157,2121,2026-06-22 16:00:25
HFCL,HFCLEQN,210.65,0.5,42947143,42947143,9216027416.37,209.61,08-Sep-2025,,220.09,59.82,1.04,218.99,209.46,220.09,205.1,2026-06-22 16:00:25
BAJAJ-AUTO,BAJAJ-AUTOEQN,10214,1.47,834191,834191,8493140486.39,10066,24-Jun-2026,,10834,7858.5,148,10116,10191,10268,10088,2026-06-22 16:00:25
GRSE,GRSEEQN,2854,1.99,2757228,2757228,7956422550.48,2798.3,03-Feb-2026,,3538.4,1963.7,55.7,2861,2860.6,2934.7,2845,2026-06-22 16:00:25
SUBROS,SUBROSEQN,858.2,14.82,8778610,8778610,7493772640.4,747.45,11-Sep-2025,,1213.7,622.1,110.75,749.35,856,884,748.2,2026-06-22 16:00:25
KIRLOSBROS,KIRLOSBROSEQN,2082.9,7.72,3531849,3531849,7454426454.87,1933.6,25-Jul-2025,,2475,1335,149.3,1970,2073.3,2189.2,1970,2026-06-22 16:00:25
IDBI,IDBIEQN,87.5,5.45,83820771,83820771,7315038685.17,82.98,15-Jul-2025,,118.38,61.01,4.52,83.36,87.65,89.4,83.05,2026-06-22 16:00:25
BHARTIARTL,BHARTIARTLEQN,1916,0.27,3798060,3798060,7279817563.2,1910.8,18-Jul-2025,,2174.5,1740.5,5.2,1915.8,1916.6,1924.5,1901,2026-06-22 16:00:25
EPACK,EPACKEQN,251.37,9.11,27191108,27191108,7078933056.72,230.39,30-Aug-2024,,414.9,196.15,20.98,238.5,252.66,269.77,238.5,2026-06-22 16:00:25
PARAS,PARASEQN,1368.5,-2.85,4936996,4936996,6855167055.88,1408.65,08-Aug-2025,,1443,580.5,-40.15,1408.65,1378.85,1417.65,1360.9,2026-06-22 16:00:25
M&M,M&MEQN,3059,-0.51,2186778,2186778,6731055758.46,3074.8,04-Jul-2025,,3839.9,2896,-15.8,3085,3063.4,3102,3053.8,2026-06-22 16:00:25
ICICIBANK,ICICIBANKEQN,1351,0.33,4814845,4814845,6527148327.35,1346.5,12-Aug-2025,,1500,1187.6,4.5,1353,1352.4,1362.7,1348.4,2026-06-22 16:00:25
