symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",16.08,0.09,0.56,177367962,72988962,10635073536
SPCX,Space Exploration Technologies ,154.6,-30.4,-16.43,165553299,288941860,2036729380864
SMCI,"Super Micro Computer, Inc.",35.46,4.8,15.66,124395469,48982825,22938116096
NOK,Nokia Corporation Sponsored,14.43,0.94,6.97,116215008,108450183,80555966464
INTC,Intel Corporation,140.94,6.95,5.19,122379465,132945327,708364402688
KEEL,Keel Infrastructure Corp.,6.66,0.37,5.88,109008708,41269887,4021498880
NVDA,NVIDIA Corporation,208.65,-2.04,-0.97,115057966,162813875,5053711646720
SOFI,"SoFi Technologies, Inc.",17.1,-0.81,-4.52,73983573,67782387,21934876672
NFLX,"Netflix, Inc.",72.88,-4.5,-5.82,77787058,39290182,306883002368
MARA,"MARA Holdings, Inc.",14.85,0.63,4.43,66765580,43561853,5661867008
APGE,"Apogee Therapeutics, Inc.",132.55,42.17,46.66,61218507,974516,9992861696
F,Ford Motor Company,14.11,0.05,0.36,66546226,56658206,56224014336
AMZN,"Amazon.com, Inc.",232.79,-11.6,-4.75,61988768,44954648,2504147599360
ONDS,Ondas Inc,8.89,-0.38,-4.1,57810274,68383870,4624733184
T,AT&T Inc.,22.1,0.09,0.41,53008180,40989798,153558286336
PLTR,Palantir Technologies Inc.,119.5,-8.97,-6.98,56046926,44418417,286478794752
PATH,"UiPath, Inc.",10.16,-0.11,-1.07,51839453,33380741,5264101888
AMC,"AMC Entertainment Holdings, Inc",2.76,-0.07,-2.47,46076967,34430370,2081513856
JOBY,"Joby Aviation, Inc.",9.86,-0.14,-1.4,47668156,29139485,9698718720
TE,T1 Energy Inc.,10.4,1.05,11.23,45341465,29928093,2904422400
MU,"Micron Technology, Inc.",1211.38,77.39,6.82,47957880,50692645,1366114435072
SNAP,Snap Inc.,4.63,-0.03,-0.64,43494442,52311400,7672655360
TSLA,"Tesla, Inc.",405.05,4.56,1.14,47630296,58082137,1521255841792
GOOGL,Alphabet Inc.,349.68,-18.35,-4.99,52036611,29821472,4266995482624
MRVL,"Marvell Technology, Inc.",307.86,-2.72,-0.88,46596718,40881875,269547782144
