symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
KALYANKJIL,KALYANKJILEQN,572.5,4.74,53915916,53915916,30367600527.84,546.6,04-Sep-2025,,617.7,327.05,25.9,542,574.4,577.5,541.25,2026-07-17 16:00:29
RELIANCE,RELIANCEEQN,1328.8,2.48,18302218,18302218,24184367843.02,1296.6,05-Jun-2026,,1611.8,1253.2,32.2,1300,1327.2,1330.3,1296.1,2026-07-17 16:00:29
JIOFIN,JIOFINEQN,242.7,2.99,95978862,95978862,23570488929.96,235.65,11-Aug-2025,,338.6,223.3,7.05,247.5,242.98,249.95,242,2026-07-17 16:00:29
BHEL,BHELEQN,421.3,-2.93,48217882,48217882,20989726213.42,435.4,17-Jul-2026,,446.5,205.12,-12.7,445,422,446.5,420.3,2026-07-17 16:00:29
TECHM,TECHMEQN,1570.1,3.96,10632264,10632264,16524877354.08,1510.3,03-Jul-2026,,1854,1304.1,59.8,1540,1572.9,1585,1527.3,2026-07-17 16:00:29
ICICIBANK,ICICIBANKEQN,1454,2.52,11112550,11112550,15983180665,1418.2,12-Aug-2025,,1500,1187.6,35.8,1422.1,1444.3,1455.1,1419.7,2026-07-17 16:00:29
FEDERALBNK,FEDERALBNKEQN,348,6.55,44155126,44155126,15068819850.02,326.6,22-Aug-2025,,351,185.11,21.4,328.7,349,351,323.4,2026-07-17 16:00:29
RELAXO,RELAXOEQN,439.95,19.99,35746124,35746124,15036964521.84,366.65,21-Aug-2025,,526,236.5,73.3,368,439.95,439.95,363.7,2026-07-17 16:00:29
AXISBANK,AXISBANKEQN,1329.4,1.67,11192836,11192836,14833193980.64,1307.6,10-Jul-2026,,1418.3,1042.5,21.8,1307,1328.5,1333,1305,2026-07-17 16:00:29
HDFCBANK,HDFCBANKEQN,820.8,1.55,17415322,17415322,14243991863.8,808.3,19-Jun-2026,,1020.5,726.65,12.5,810,819.6,823.7,808.5,2026-07-17 16:00:29
INFY,INFYEQN,1094.2,1.09,12547728,12547728,13827470778.72,1082.4,10-Jun-2026,,1728,982.4,11.8,1105,1096.5,1116.8,1092,2026-07-17 16:00:29
BAJFINANCE,BAJFINANCEEQN,1055.3,1.71,12882360,12882360,13537428006,1037.6,30-Jun-2026,,1102.5,787.9,17.7,1044.9,1056.3,1058.5,1037.6,2026-07-17 16:00:29
HSCL,HSCLEQN,741,2.58,18316544,18316544,13411190351.36,722.35,22-May-2026,,744.5,418.5,18.65,727.5,741.55,744.5,706.55,2026-07-17 16:00:29
BSE,BSEEQN,3579,-2.88,3660561,3660561,13177067854.14,3685,10-Jul-2026,,4446.8,2021.5,-106,3685,3581.8,3688,3571.5,2026-07-17 16:00:29
CAMPUS,CAMPUSEQN,232.99,2.8,52366677,52366677,12970702226.13,226.65,10-Sep-2025,,304.4,215.2,6.34,226.8,235.97,259.7,225.5,2026-07-17 16:00:29
TCS,TCSEQN,2266,2.95,5615138,5615138,12666010635.22,2201,15-Jul-2026,,3350,1976.8,65,2224.8,2269,2275,2215.1,2026-07-17 16:00:29
GROWW,GROWWEQN,208.18,1.24,49834034,49834034,10424283232.12,205.64,,,227.2,112,2.54,206.4,208.3,213.64,204.84,2026-07-17 16:00:29
FINOPB,FINOPBEQN,177.62,12.25,58714643,58714643,10250402374.94,158.24,,,339,110.03,19.38,159.02,174.21,180.75,159.02,2026-07-17 16:00:29
DIXON,DIXONEQN,14300,-1.43,674412,674412,9740546004.24,14507,16-Sep-2025,,18471,9600,-207,14499,14329,14580,14192,2026-07-17 16:00:29
BHARTIARTL,BHARTIARTLEQN,1908,-0.72,4715613,4715613,9016110587.61,1921.8,18-Jul-2025,,2174.5,1740.5,-13.8,1918,1908.8,1925.2,1902.7,2026-07-17 16:00:29
