symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
OPEN,Opendoor Technologies Inc,3.65,0.16,4.58,170611139,56106846,3521288704
ONDS,Ondas Inc,8.91,-0.86,-8.8,121271703,89831011,5083620864
SMCI,"Super Micro Computer, Inc.",39.16,1.55,4.12,119968094,56220920,25331548160
SPCX,Space Exploration Technologies ,141.29,-4.86,-3.33,117955781,122789395,1861380734976
NOK,Nokia Corporation Sponsored,10.56,0.24,2.33,111631642,103428561,58951561216
PATH,"UiPath, Inc.",16.68,1.42,9.31,104544134,63203185,8642245632
INTC,Intel Corporation,104.56,3.61,3.58,111979671,122751006,549413289984
NVDA,NVIDIA Corporation,225.3,1.21,0.54,93629467,148995974,5456991354880
PLUG,"Plug Power, Inc.",2.3,0.01,0.44,72265447,62065104,3213549056
ARX,Accelerant Holdings,19.51,5.9,43.35,69076028,2053832,4257108224
IREN,IREN LIMITED,44.76,1.09,2.5,70711737,45360061,15996269568
SOFI,"SoFi Technologies, Inc.",18.43,0.49,2.73,61643357,78079796,23803641856
RIG,Transocean Ltd (Switzerland),5.72,0.02,0.35,60385134,37776153,6388554240
ACHR,Archer Aviation Inc.,6.97,0.68,10.81,58941414,44148443,5367086592
NU,Nu Holdings Ltd.,13.93,0.37,2.73,60887729,75528729,67288649728
CSCO,"Cisco Systems, Inc.",113.47,-10.41,-8.4,61243283,24851482,447234605056
CRWV,"CoreWeave, Inc.",106.29,-1.44,-1.34,50403007,29488172,58622824448
AAL,"American Airlines Group, Inc.",15.06,0.13,0.87,48871159,109370187,9969267712
CDE,"Coeur Mining, Inc.",18.45,-0.35,-1.86,44915770,34934753,18965401600
AAPL,Apple Inc.,305.26,3.01,1.0,38492546,56523159,4455019315200
CLBT,Cellebrite DI Ltd.,10.8,-4.45,-29.18,36528830,1949622,2693950208
PCG,Pacific Gas & Electric Co.,17.46,0.08,0.46,36134875,20002209,38453325824
KEEL,Keel Infrastructure Corp.,3.31,-0.23,-6.5,36283052,44640551,2044167168
NFLX,"Netflix, Inc.",78.24,4.03,5.43,40958247,42787395,325786632192
NBIS,Nebius Group N.V.,255.04,-4.16,-1.6,36012698,20605559,64754192384
