symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
ONDS,Ondas Inc,7.66,0.79,11.5,281506682,78127301,4364963328
PATH,"UiPath, Inc.",12.04,-0.12,-0.99,175349853,52336781,6238168064
NU,Nu Holdings Ltd.,14.39,0.4,2.86,140917984,66871706,69510676480
T,AT&T Inc.,22.26,0.31,1.41,130272208,54800998,154670022656
INTC,Intel Corporation,105.45,8.39,8.64,102081994,134867139,529991663616
MARA,"MARA Holdings, Inc.",12.25,0.58,4.97,97975300,43701313,4670563328
NOK,Nokia Corporation Sponsored,10.63,0.55,5.46,94412386,114201008,59342340096
NVDA,NVIDIA Corporation,207.29,4.01,1.97,108223095,156989114,5020770631680
AAL,"American Airlines Group, Inc.",15.28,0.14,0.92,90507182,105976698,10105964544
JOBY,"Joby Aviation, Inc.",7.66,0.19,2.54,83691252,39040901,7534704128
SOFI,"SoFi Technologies, Inc.",17.64,0.63,3.7,86143545,77283219,22627555328
SPCX,Space Exploration Technologies ,123.54,3.69,3.08,77829252,126858892,1627539111936
HL,Hecla Mining Company,15.29,1.0,7.0,74401643,24591549,10255192064
OPEN,Opendoor Technologies Inc,4.48,0.03,0.79,67206928,54042140,4322020352
NFLX,"Netflix, Inc.",68.67,1.07,1.58,56183353,42274863,285937729536
IREN,IREN LIMITED,41.29,1.09,2.71,50191514,47771280,14756166656
ACHR,Archer Aviation Inc.,5.28,-0.03,-0.56,48920147,43199632,4027926784
F,Ford Motor Company,14.27,0.28,2.0,45274967,61430947,56861569024
MU,"Micron Technology, Inc.",970.82,105.36,12.17,47631170,52255178,1096437465088
CIFR,Cipher Digital Inc.,22.89,2.35,11.44,46619136,25222257,9363135488
PLUG,"Plug Power, Inc.",2.27,0.14,6.57,39752438,69164085,3166806784
RIG,Transocean Ltd (Switzerland),5.24,0.22,4.38,40650286,35385663,5799424000
SOUN,"SoundHound AI, Inc.",6.555,0.24,3.88,37884049,29070047,2855844096
SKHY,SK hynix Inc.,171.94,20.78,13.75,37805968,68797571,1220524507136
CDE,"Coeur Mining, Inc.",15.3,1.14,8.05,35373411,29610375,15767178240
