symbol,shortName,price,changePct,volume
BLLN,"BillionToOne, Inc.",91.65,-38.89,3740379
HONA,Honeywell Aerospace Inc.,156.47,-23.16,20333715
APP,Applovin Corporation,335.67,-19.66,15129654
HUBS,"HubSpot, Inc.",202.43,-19.1,8574492
DDOG,"Datadog, Inc.",229.29,-19.03,14930110
BROS,Dutch Bros Inc.,53.33,-18.79,15425765
FOUR,"Shift4 Payments, Inc.",43.36,-18.77,4578104
CELH,"Celsius Holdings, Inc.",23.77,-18.46,43275897
VISN,"Vistance Networks, Inc.",10.1,-18.22,24130455
PTON,"Peloton Interactive, Inc.",5.505,-15.57,30770321
EPAM,"EPAM Systems, Inc.",93.07,-15.29,3550531
DAVE,Dave Inc.,365.26,-15.09,941553
SYM,Symbotic Inc.,39.6,-14.88,4959286
FIG,"Figma, Inc.",23.97,-14.85,52085393
GRAL,"GRAIL, Inc.",63.4,-14.53,1882038
