symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
SBCL,EQ,920.9,153.45,  19.99,20,920.9,830.05,920.9,368.6,60.15282,538.500075204
TRAVELFOOD,EQ,1429,91.8,   6.87,10,1470.9,1354.1,1470.9,1015.1,12.77146,184.31771072
GKENERGY,EQ,136.81,6.66,   5.12,10,143.16,129.26,239.6,87.2,34.62023,47.772455377
STYLEBAAZA,BE,320.65,15.25,   4.99,5,320.65,312,427,229.95,5.83981,18.68155219
SETL,EQ,279.2,4.55,   1.66,5,288.35,278,305.3,104.56,5.55977,15.714133928
INDOTECH,BE,3775,-12.5,  -0.33,5,3976.8,3738,3976.8,1100,0.3928,15.27760248
SICAGEN,EQ,74.06,12.34,  19.99,20,74.06,65.95,74.06,46.55,18.20404,12.986762136
GVPIL,EQ,762.9,36.3,   5.00,5,762.9,728.55,1084,270.9,1.63658,12.21215996
RELINFRA,BE,76.6,3.64,   4.99,5,76.6,74,303,60.04,15.23751,11.618601375
DBREALTY,BE,117.32,5.58,   4.99,5,117.32,110,187.4,83.5,7.18225,8.332128225
EEPL,SM,143.7,23.95,  20.00,20,143.7,110,232.8,91,5.41,7.099002
MAFANG,EQ,206.3,0.39,   0.19,20,206.3,205.91,208.38,149.74,3.17269,6.544624932
XTRANET,BE,136.21,6.48,   4.99,5,136.21,129.5,136.9,122.5,4.32146,5.807177948
ARROWGREEN,BE,782,35.9,   4.81,5,783.4,746.25,801,341.95,0.57517,4.4236899869999995
MON100,EQ,328.99,-3.37,  -1.01,20,328.99,328.99,342.55,197.81,1.26431,4.159453469
TECHERA,SM,182.75,8.7,   5.00,5,182.75,174.25,325.7,127.55,2.072,3.7548784
MASPTOP50,EQ,80.54,-0.4,  -0.49,20,80.54,80.5,82.78,60.33,4.44705,3.581209365
GANGAFORGE,BE,2.12,0.1,   4.95,5,2.12,2.05,3.29,1.59,112.25579,2.368597169
KOTYARK,BE,40.89,0.51,   1.26,5,42.39,38.47,45.5,17.38,5.43504,2.212604784
VIVIDEL,ST,1448,68.95,   5.00,5,1448,1448,1448,556,0.1488,2.154624
AEPL,EQ,16.8,2.28,  15.70,20,17.42,14.07,20.25,13.25,12.03391,2.046968091
PATILAUTOM,ST,210.75,10,   4.98,5,210.75,204,234,112.05,0.774,1.6181244
SADHNANIQ,BE,3.02,0.14,   4.86,5,3.02,2.9,3.13,1.27,47.21398,1.4164194
MCLEODRUSS,BE,49.04,2.33,   4.99,5,49.04,45.1,78.41,28.5,2.64508,1.271225448
BGRENERGY,BE,266.8,12.7,   5.00,5,266.8,250,490.8,107.96,0.47472,1.247706576
GATECH,BE,0.67,0.03,   4.69,5,0.67,0.66,0.93,0.4,178.95105,1.1810769300000001
CHEMBONDCH,BE,239,7.23,   3.12,5,243.35,231.77,279.8,104.85,0.44693,1.0815706
VPRPL,BE,30.93,1.47,   4.99,5,30.93,29,163.37,23.94,3.55232,1.079194816
BIKEWO,ST,78.5,3.7,   4.95,5,78.5,76,78.5,13.65,1.32,1.033956
AKANKSHA,ST,116.4,5.5,   4.96,5,116.4,116.4,116.4,57,0.7,0.8148
EIFFL,BE,269.3,12.8,   4.99,5,269.3,247,381.96,204.98,0.31414,0.807434042
DHARIWAL,SM,24.35,2.2,   9.93,10,24.35,23.5,48.3,15.46,3.27,0.789378
UTKAL,SM,46.1,2.15,   4.89,5,46.1,42.5,66,22.6,1.68,0.757848
SPCENET,EQ,3.87,0.35,   9.94,10,3.87,3.57,11.24,3,17.73403,0.675666543
MUNISH,ST,81.05,1.05,   1.31,5,84,81.05,143,50.2,0.78,0.64467
PASUPTAC,BE,62.65,2.98,   4.99,5,62.65,60,78.95,40.1,0.96185,0.59480804
ABAN,BE,20.1,0.94,   4.91,5,20.11,19,52.14,12.89,2.7773,0.55490454
UEL,EQ,257.79,12.27,   5.00,5,257.79,257.79,257.79,92.32,0.20964,0.5404309559999999
ESFL,SM,126.25,11.45,   9.97,10,126.25,117,500,108.3,0.3996,0.49658292000000004
TRANSWORLD,BE,165.01,6.58,   4.15,5,166.35,158,287.58,111.56,0.30082,0.49620259000000005
MOS,ST,10.1,0.05,   0.50,5,10.55,10.1,28.55,9.05,2.96,0.305176
DISHTV,BE,2.89,0.13,   4.71,5,2.89,2.76,5.99,1.82,10.40445,0.298607715
ROLLT,BE,3.11,0.14,   4.71,5,3.11,3.11,3.74,1.02,9.18119,0.285535009
AKSHOPTFBR,BE,6.85,0.27,   4.10,5,6.9,6.55,9,3.82,4.12621,0.28058227999999996
BEACON,ST,91.95,3.25,   3.66,5,93.1,88.95,124.8,50,0.26,0.23686
BSHSL,BE,91,4.33,   5.00,5,91,86.5,150,59.16,0.25612,0.230661672
DHARAN,BZ,0.16,0.01,   6.67,5,0.16,0.15,0.61,0.11,150.27345,0.225410175
S&SPOWER,EQ,328,18.35,   5.93,10,340.6,296,468.9,193.5,0.06414,0.20643459
HPTL,SM,310.85,14.8,   5.00,5,310.85,281.3,330.3,174.35,0.066,0.198561
JKIPL,BE,98.11,0.14,   0.14,5,102.86,96.06,126.95,45.4,0.19488,0.194704608
FILATFASH,BE,0.19,0.01,   5.56,5,0.19,0.18,0.68,0.14,106.63568,0.191944224
NEPHROCARE,ST,75.8,3.6,   4.99,5,75.8,75.6,183,50.05,0.252,0.19089
BHADORA,ST,92.1,4.35,   4.96,5,92.1,88.95,128.85,49.5,0.204,0.1858848
SHYAMDHANI,ST,63.5,1.3,   2.09,5,65.3,63,139.65,47,0.28,0.179816
IVP,BE,168.71,8.03,   5.00,5,168.71,168.71,194,110,0.09561,0.161303631
SHIVAMILLS,BE,65.49,3.11,   4.99,5,65.49,65.49,77.01,43.01,0.24107,0.15787674299999999
VALIANTLAB,BE,64.59,3.07,   4.99,5,64.59,61,100.98,49.51,0.23879,0.15227638300000002
TICL,BE,10.5,0.25,   2.44,5,10.76,10,33.99,8.91,1.34459,0.142392081
MONQ50,EQ,144.28,-2.6,  -1.77,20,144.28,144.28,147.24,79,0.08569,0.123633532
FORGEAUTO,SM,116.15,5.5,   4.97,5,116.15,116.15,172,68.45,0.072,0.083628
ARSHIYA,BZ,0.95,0.01,   1.06,5,0.98,0.92,2.74,0.92,8.56354,0.082209984
MASTER,SM,497,22,   4.63,5,498.75,497,502,282.5,0.015,0.074637
PURVFLEXI,SM,50.05,2.35,   4.93,5,50.05,48,124.95,37,0.136,0.0675104
ADDICTIVE,SM,40.15,1.9,   4.97,5,40.15,38.8,154,37.15,0.165,0.065472
ARVINDPORT,SM,32.6,1.75,   5.67,10,33.9,31.5,71.25,24.4,0.195,0.0639405
SVPGLOB,BE,3.93,0.12,   3.15,5,4,3.75,6.89,2.18,1.45667,0.057538465000000004
BULKCORP,SM,66.65,3.15,   4.96,5,66.65,66.15,86.95,38.05,0.06,0.03987
VICTORYEV,ST,16.4,-0.15,  -0.91,5,17.35,15.9,34.45,13.7,0.24,0.039264
FONEBOX,SM,98.1,4.65,   4.98,5,98.1,98.1,124.4,57,0.04,0.03924
VIVO,SM,114.05,5.4,   4.97,5,114.05,114.05,114.05,64,0.032,0.036496
ZENITHEXPO,EQ,216.96,19.72,  10.00,10,216.96,193.2,351.65,174,0.01629,0.034005375
MANDEEP,SM,20.9,0.95,   4.76,5,20.9,19.1,31.9,17.25,0.16,0.032368
SATIPOLY,ST,48,2.25,   4.92,5,48,46.9,88.25,27.15,0.065,0.031018
REPL,BE,67.39,2.41,   3.71,5,68.22,63.56,182.8,60,0.04626,0.03097107
GATECHDVR,BE,0.52,0.02,   4.00,5,0.52,0.49,0.67,0.36,5.4421,0.02775471
CMRSL,SM,63.4,3,   4.97,5,63.4,62.95,96.75,52.45,0.04,0.025324
RAJRILTD,BE,21.9,0.27,   1.25,2,22.06,21.46,28.9,19.41,0.11106,0.024111126
VCL,EQ,1.34,0.06,   4.69,5,1.34,1.34,2.66,0.87,1.62431,0.021765754000000002
PALREDTEC,BE,48.9,1.24,   2.60,5,50.04,46,73.6,27.45,0.03982,0.019639224
MILTON,SM,33.9,1.6,   4.95,5,33.9,33.5,53.5,24.85,0.044,0.014828
DEEM,ST,46.6,0.2,   0.43,5,48.7,46.6,65.8,29.35,0.03,0.014388
SANWARIA,BZ,0.2,0.01,   5.26,2,0.2,0.19,0.39,0.19,6.56791,0.012479028999999999
PRECISION,ST,8.5,0.4,   4.94,5,8.5,8.45,26,6.2,0.14,0.011872
PROLIFE,SM,78.65,3.7,   4.94,5,78.65,78.65,142.5,56.05,0.015,0.0117975
PPSL,SM,2.9,0.1,   3.57,5,2.9,2.9,20.9,2.1,0.33,0.00957
MANAV,SM,23.45,1.1,   4.92,5,23.45,23.45,47,14.5,0.04,0.00938
MTEDUCARE,BE,2,0.06,   3.09,5,2.03,1.86,2.53,1.17,0.42896,0.008493408000000001
FEL,BZ,0.37,0,   0.00,2,0.38,0.37,0.65,0.34,1.86333,0.006894321000000001
IMPEXFERRO,BZ,3.17,0.15,   4.97,5,3.17,3.17,3.17,1.3,0.20509,0.006501353
GOLDENTOBC,BZ,25.04,1.03,   4.29,5,25.21,24.01,37.5,20.34,0.02509,0.006242392
VR,SM,144.65,6.85,   4.97,5,144.65,144.65,222,98,0.004,0.005786
MIEL,SM,13.1,0.6,   4.80,5,13.1,12.8,35,10.7,0.04,0.00518
EASTSILK,BE,63,3,   5.00,5,63,58.3,99.25,24,0.00779,0.0047768279999999995
COMPINFO,BZ,1.12,0.02,   1.82,5,1.15,1.1,2.52,0.91,0.25757,0.002936298
FELDVR,BZ,2.26,-0.07,  -3.00,5,2.44,2.23,3.78,2.23,0.06991,0.0016149209999999998
BILVYAPAR,BE,4.08,0.18,   4.62,5,4.09,3.8,14.7,3.8,0.0274,0.0011042200000000002
DSKULKARNI,BE,10.96,0.52,   4.98,5,10.96,10.96,10.96,8.6,0.00561,0.000614856
MEP,BZ,0.57,0.01,   1.79,2,0.57,0.57,2.87,0.5,0.0497,0.00028329
