symbol,shortName,price,changePct,volume
BRVE,"Braveheart Bio, Inc. Common Stock",29.8,65.56,3291205
IOVA,"Iovance Biotherapeutics, Inc.",6.21,43.09,72531624
INSM,Insmed Incorporated,132.55,33.86,12029853
SITM,SiTime Corporation,687.5,26.58,1395945
WPP,WPP plc,25.95,25.91,2749717
PAYC,"Paycom Software, Inc.",215.97,23.55,3654979
VAC,Marriott Vacations Worldwide Co,124.75,22.62,1674448
CAI,"Caris Life Sciences, Inc.",20.0,21.58,11266725
CACI,"CACI International, Inc.",628.79,21.38,897096
CHYM,"Chime Financial, Inc.",31.25,20.56,34791532
FTDR,"frontdoor, inc.",89.92,17.73,888718
DXPE,"DXP Enterprises, Inc.",198.21,17.72,262716
MGNI,"Magnite, Inc.",24.32,17.66,9799202
FA,First Advantage Corporation,24.12,17.32,4725674
PRAX,"Praxis Precision Medicines, Inc",370.16,15.95,1394770
