symbol,regPrice,postPrice,postChange,direction
SEZL,178.53,127.8,-28.42,DOWN
NET,284.43,330.5,16.2,UP
ABNB,151.64,163.52,7.83,UP
GTLB,35.68,37.0,3.7,UP
NOW,117.35,119.95,2.22,UP
CRWD,207.39,211.78,2.12,UP
