symbol,shortName,price,changePct,volume
RGC,Regencell Bioscience Holdings L,12.01,-18.96,377357
ACN,Accenture plc,127.98,-17.97,41630037
LEGN,Legend Biotech Corporation,27.93,-16.68,13601339
TNGX,"Tango Therapeutics, Inc.",27.97,-13.38,11811891
EPAM,"EPAM Systems, Inc.",76.64,-12.61,4084770
CTSH,Cognizant Technology Solutions ,43.7,-10.49,57685964
INFY,Infosys Limited,10.57,-9.66,41059210
SLBT,SL Science Holding Limited Ordinary Shares,5.79,-9.25,465854
AAMI,Acadian Asset Management Inc.,75.15,-9.15,2999510
KR,Kroger Company (The),56.61,-8.43,26634405
AXTI,AXT Inc,84.57,-8.19,12107204
STLD,"Steel Dynamics, Inc.",249.91,-7.49,4217630
HAWK,"HawkEye 360, Inc.",22.9,-7.44,1219590
GIB,CGI Inc.,61.28,-7.25,813134
EXLS,"ExlService Holdings, Inc.",25.93,-6.93,5762455
