symbol,regPrice,postPrice,postChange,direction
ZS,184.6,147.45,-20.13,DOWN
ASTS,119.7,122.93,2.7,UP
S,18.56,18.06,-2.69,DOWN
CRWD,671.55,654.59,-2.53,DOWN
MRVL,208.26,213.2,2.37,UP
