symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
ANSALAPI,BZ,3.58,0.07,   1.99,2,3.58,3.54,5.55,2.51,0.34015,0.012143355
MASKINVEST,BE,152,2.5,   1.67,5,156.97,146,246.09,114.94,0.00524,0.007862619999999999
FEL,BZ,0.38,0.01,   2.70,2,0.38,0.37,0.65,0.34,2.00418,0.007415466000000001
ORTEL,BZ,2.13,0.1,   4.93,5,2.13,2.1,2.2,1.15,0.32253,0.006837636
PRECISION,ST,8.1,0.2,   2.53,5,8.25,8,26,6.2,0.08,0.006464
ANKITMETAL,BZ,1.6,0.05,   3.23,5,1.62,1.56,2.12,1.29,0.36717,0.005764569000000001
VR,SM,137.8,6.55,   4.99,5,137.8,137.8,222,98,0.004,0.005512
MANDEEP,SM,19.95,0.95,   5.00,5,19.95,19.95,31.9,17.25,0.02,0.00399
IMPEXFERRO,BZ,3.02,0.14,   4.86,5,3.02,3.02,3.02,1.3,0.08166,0.002466132
INDIFRA,SM,11.95,0.55,   4.82,5,11.95,11.95,20.8,11.4,0.02,0.00239
797TS43,SG,100.64,4.79,   5.00,5,100.64,100.64,100.64,95.85,0.002,0.0020128
68GS2060,GS,93.4,3.07,   3.40,5,94.84,93.4,101,88.1,0.00208,0.0019429279999999998
BILVYAPAR,BE,3.9,-0.06,  -1.52,5,4.15,3.83,14.7,3.8,0.04261,0.001721444
MEP,BZ,0.56,0.01,   1.82,2,0.56,0.56,2.87,0.5,0.23115,0.00129444
91D291026,TB,103.63,4.93,   4.99,5,103.63,103.63,103.63,98,0.001,0.0010363
SETUINFRA,BZ,0.42,0.02,   5.00,5,0.42,0.39,0.78,0.37,0.24732,0.00098928
DSKULKARNI,BE,10.44,0.49,   4.92,5,10.44,10.44,10.44,8.6,4e-05,4.1759999999999995e-06
