symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",17.92,-0.23,-1.27,129747122,88399729,11852021760
T,AT&T Inc.,20.58,0.1,0.49,112268855,47024545,142996815872
NVDA,NVIDIA Corporation,194.83,-2.75,-1.39,129935067,159232662,4718977351680
INTC,Intel Corporation,120.35,-6.67,-5.25,122319394,136767604,604879060992
OPEN,Opendoor Technologies Inc,4.9,-0.04,-0.81,89450976,41859032,4727209472
ONDS,Ondas Inc,7.41,-0.51,-6.44,86228013,67820163,3926013952
RIVN,"Rivian Automotive, Inc.",18.63,1.45,8.44,77783087,29707544,25017600000
SOFI,"SoFi Technologies, Inc.",18.24,-0.2,-1.08,80149146,71928650,23397199872
NOK,Nokia Corporation Sponsored,12.07,-0.84,-6.51,77223454,113664783,67381186560
TSLA,"Tesla, Inc.",393.45,-31.85,-7.49,72014753,55220063,1477689606144
AAPL,Apple Inc.,308.63,14.25,4.84,71900726,53586159,4532958920704
IREN,IREN LIMITED,38.82,-4.5,-10.39,59798128,45346077,13873440768
VZ,Verizon Communications Inc.,42.56,0.57,1.36,58856216,25993729,177711792128
PATH,"UiPath, Inc.",11.71,0.16,1.39,58368571,39067629,6067188224
PLUG,"Plug Power, Inc.",2.64,0.0,0.0,59940245,74756585,3682982400
MU,"Micron Technology, Inc.",975.56,-56.72,-5.49,60943570,51126095,1101790838784
JOBY,"Joby Aviation, Inc.",8.49,-0.35,-3.96,55926779,32807040,8351128064
SPCX,Space Exploration Technologies ,162.0,4.46,2.83,60289936,177500853,2134218244096
PLTR,Palantir Technologies Inc.,129.3,3.57,2.84,60316506,45643208,309972434944
NU,Nu Holdings Ltd.,13.61,0.22,1.64,52239521,51625581,66168295424
PFE,"Pfizer, Inc.",24.32,0.44,1.84,51809215,39428286,138610475008
BB,BlackBerry Limited,11.51,-1.3,-10.15,50661124,32693742,6746015744
KEEL,Keel Infrastructure Corp.,4.59,-0.79,-14.68,49278197,45077695,2771573760
MARA,"MARA Holdings, Inc.",12.4,-0.97,-7.26,50379063,43449480,4727754240
NFLX,"Netflix, Inc.",77.65,3.46,4.66,54505622,41324122,326968508416
