symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NVDA,NVIDIA Corporation,210.96,8.18,4.03,147203662,159067854,5109662089216
NU,Nu Holdings Ltd.,13.76,0.09,0.66,115373910,53721811,66467467264
SOFI,"SoFi Technologies, Inc.",18.78,0.16,0.86,91350769,74818001,24089880576
AAL,"American Airlines Group, Inc.",16.95,-0.11,-0.64,81697260,95716963,11210478592
PATH,"UiPath, Inc.",11.68,-0.12,-1.02,78661216,42871329,6051644928
FRMI,Fermi Inc.,6.59,-0.73,-9.97,72310019,18669559,4204969216
OPEN,Opendoor Technologies Inc,4.765,-0.54,-10.09,72377341,47613147,4596969984
INTC,Intel Corporation,109.84,-2.7,-2.4,70252303,135269268,552055799808
ONDS,Ondas Inc,7.26,-0.39,-5.1,65561478,70066575,4137028352
PLUG,"Plug Power, Inc.",2.23,-0.15,-6.3,53236361,72629177,3111003904
NOK,Nokia Corporation Sponsored,12.44,-0.46,-3.57,50035214,112203950,69446721536
T,AT&T Inc.,21.13,0.37,1.77,46772070,51055836,146818383872
MARA,"MARA Holdings, Inc.",12.6,-0.62,-4.69,45463079,43539585,4804008448
F,Ford Motor Company,14.0,0.39,2.87,41519715,60563040,55785697280
BBD,Banco Bradesco Sa,3.65,0.17,4.89,41212425,31656193,38583099392
NFLX,"Netflix, Inc.",73.37,-2.1,-2.78,45187009,42152572,308946305024
SPCX,Space Exploration Technologies ,145.3,-6.86,-4.51,44690964,152717550,1914209435648
META,"Meta Platforms, Inc.",669.21,37.73,5.97,39408342,17370160,1698738339840
CRCL,"Circle Internet Group, Inc.",66.14,3.13,4.97,35158305,14696906,17678606336
RIG,Transocean Ltd (Switzerland),5.2,0.06,1.17,34559299,34437870,5755153408
RIVN,"Rivian Automotive, Inc.",17.48,-0.64,-3.53,38577408,34433718,25300002816
TSLA,"Tesla, Inc.",407.76,1.21,0.3,32768180,53478652,1531433975808
AMZN,"Amazon.com, Inc.",245.34,-1.7,-0.69,31268333,50460542,2639149400064
PLTR,Palantir Technologies Inc.,126.79,-2.25,-1.74,30714836,43984711,303955181568
JOBY,"Joby Aviation, Inc.",7.72,-0.27,-3.38,31136839,34937926,7593722880
