symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
STLTECH,BE,865.9,41.2,   5.00,5,865.9,796.05,865.9,84.6,43.81757,374.456189706
INDNIPPON,EQ,1346.7,224.4,  19.99,20,1346.7,1111.2,1346.7,675,16.13322,205.648542018
TCC,EQ,51.33,2.26,   4.61,20,58.88,45.6,105.28,39.37,327.14581,179.43947678499998
NOVARTIND,EQ,2186.4,364.4,  20.00,20,2186.4,1851,2186.4,950,7.85816,163.471730848
XTRANET,EQ,293.37,26.67,  10.00,10,293.37,268.52,293.37,122.5,52.61019,150.30731283
ELLEN,EQ,355.05,32.25,   9.99,10,355.05,324.2,559.8,175,29.9368,103.6861068
HEG,BE,263.1,4.5,   1.74,5,271.5,255,753.9,250,32.8903,88.23809684
SMLMAH,EQ,6529.5,216,   3.42,5,6629,6290,6629,2719,1.34865,88.21492677
SETL,EQ,424.7,20.2,   4.99,5,424.7,401.4,424.7,104.56,17.43094,73.27095629
GOACARBON,EQ,463.5,77.25,  20.00,20,463.5,400,494.9,272.85,11.88458,53.812189782000004
BIRLACABLE,EQ,356.85,16.95,   4.99,5,356.85,326,395,104,13.34884,46.184316632
ESDS,EQ,1438.85,130.8,  10.00,10,1438.85,1438.85,1438.85,756,3.12887,45.019745995
STLNETWORK,EQ,33.2,1.58,   5.00,5,33.2,30.71,35.4,15.75,124.06425,40.506977625
HLEGLAS,EQ,367.95,33.45,  10.00,10,367.95,333.05,661.95,250,8.46199,30.665405561
WEBELSOLAR,EQ,78.67,3.66,   4.88,5,78.76,75.01,137.9,50.4,31.25206,24.395358036
SREEL,EQ,345.01,57.5,  20.00,20,345.01,287.5,345.01,165.25,6.35232,21.348241824000002
BIL,EQ,1107.05,170.2,  18.17,20,1124.2,915.1,1124.2,602,1.91572,20.764872224
BHAGYANGR,EQ,411.65,19.6,   5.00,5,411.65,391,432.3,88.1,4.71785,19.03935546
SHIVALIK,EQ,384.9,64.15,  20.00,20,384.9,318.3,496,206.4,4.71778,17.323216382
HTEL,BE,77.65,3.69,   4.99,5,77.65,73.5,81.4,71.1,17.19401,13.158575853
HAPPYFORGE,EQ,2260,29.7,   1.33,5,2341.8,2230.3,2470,869,0.53191,12.061378395999999
MVKAGRO,SM,273.55,13,   4.99,5,273.55,273.55,819,152.05,3.435,9.3964425
BALPHARMA,EQ,114.45,19.07,  19.99,20,114.45,95.1,114.45,60,7.82802,8.594383158
PRIORITY,BE,229.45,10.92,   5.00,5,229.45,215,245,215,3.52389,7.969982012999999
RBMINFRA,SM,319.95,44.2,  16.03,20,330.9,286,524.8,221,2.52,7.962696
WEL,EQ,72.85,3.46,   4.99,5,72.85,68.04,183.53,68.04,10.5875,7.567945
GAYAPROJ,EQ,23.45,0.19,   0.82,5,24.42,23.3,26,8.28,30.83761,7.447282815
SHANTIINOR,ST,167.8,7.95,   4.97,5,167.8,152.05,169.95,150,3.792,6.110808
SPECTRUM,BE,2741.6,130.5,   5.00,5,2741.6,2571,2741.6,1050,0.22007,5.918958706000001
STALLION,BE,223.4,10.63,   5.00,5,223.4,215.1,359.15,99.32,2.01491,4.481965804
ACSTECH,BE,59.99,2.85,   4.99,5,59.99,57.5,59.99,31.71,6.54859,3.900340204
SUMAX,ST,114.85,5.1,   4.65,5,115.2,106,116,101.2,3.372,3.8133948
TAC,ST,457.1,21.75,   5.00,5,457.1,434.6,899.65,347.4,0.742,3.3405582
EMPOWER,EQ,2.11,0.1,   4.98,5,2.11,2.05,2.82,1.3,149.78502,3.130506918
INDIAGLYCO,BE,301.3,14.3,   4.98,5,301.3,300,1222,217,1.01181,3.0481788059999997
CHEMCON,BE,220,10.47,   5.00,5,220,212,295,125,1.39577,3.042918177
FRESHARA,ST,475.15,22.6,   4.99,5,475.15,460,477.95,130,0.612,2.8943316
ANMOL,EQ,13.65,2.27,  19.95,20,13.65,11.05,17.74,8.4,20.32233,2.696773191
PURPLEUTED,ST,422.45,20.1,   5.00,5,422.45,386,587.95,244.45,0.635,2.5902285
PPL,BE,287.75,13.7,   5.00,5,287.75,273,334.55,163.21,0.79281,2.265137451
CURIS,SM,218.65,19.85,   9.98,10,218.65,211,218.65,83.6,1.04,2.261064
VALIANTORG,BE,359.5,17.1,   4.99,5,359.5,346.05,397,195,0.6163,2.2072168199999997
AARADHYA,SM,134.25,6.35,   4.96,5,134.25,127,182,64.2,1.308,1.751412
BIKEWO,ST,109.25,4.65,   4.45,5,109.8,105,115.8,13.65,1.48,1.602692
OPTIVALUE,ST,172.7,8.2,   4.98,5,172.7,168,202,56.05,0.928,1.5866944
KANORICHEM,BE,166.84,7.94,   5.00,5,166.84,161.55,166.84,56,0.94989,1.5662736210000001
GRAVISSHO,EQ,30,1.33,   4.64,20,34.4,28.5,35.6,25.2,4.72614,1.521344466
HEXAGON,BE,67.42,3.21,   5.00,5,67.42,62.5,78.25,48.1,2.26751,1.5103884109999999
VALIANTLAB,BE,119.83,5.7,   4.99,5,119.83,115.27,119.83,49.51,1.18328,1.410233104
GULFPETRO,BE,67.75,3.13,   4.84,5,67.85,64,71.4,23.25,2.07186,1.391046804
TAKE,EQ,15.99,0.76,   4.99,5,15.99,15.5,50.14,10.09,7.96799,1.268504008
DHARIWAL,SM,27.75,1.3,   4.91,5,27.75,27,48.3,16.55,3.6,0.99324
POLYSIL,SM,81.35,3.85,   4.97,5,81.35,81.2,356.75,47.25,1.22,0.992348
GANESHIN,ST,96.85,4.6,   4.99,5,96.85,90,250,66.4,0.992,0.9452768
SHREEDHAR,ST,123.2,5.85,   4.99,5,123.2,116.2,128,54.4,0.66,0.806124
NATIONSTD,EQ,114.83,4.88,   4.44,5,115.44,110.1,1519.95,98.27,0.69353,0.791872554
PSRAJ,ST,91.25,4.3,   4.95,5,91.25,86,94.75,28.6,0.8,0.70112
PLAZACABLE,EQ,59.68,2.84,   5.00,5,59.68,55.61,65,27,1.10358,0.650229336
KSR,EQ,39.19,1.86,   4.98,5,39.19,36.53,39.19,14.04,1.64524,0.64082098
MANAKSTEEL,BE,109.54,5.21,   4.99,5,109.54,103.9,114.76,45.11,0.5923,0.63340562
GLOBALPET,SM,166.45,7.9,   4.98,5,166.45,157.1,166.45,85,0.3675,0.60766125
CFEL,EQ,38.65,6.44,  19.99,20,38.65,32.05,38.65,24.36,1.4754,0.5503242
LEMERITE,EQ,21.49,0.82,   3.97,5,21.7,20.4,107.57,19.52,2.11782,0.44325972599999997
