symbol,shortName,price,changePct,volume
SMCI,"Super Micro Computer, Inc.",29.27,-27.98,188978616
LAZ,"Lazard, Inc.",41.36,-12.56,5171380
XE,"X-Energy, Inc.",18.02,-11.8,5712532
UEC,Uranium Energy Corp.,9.42,-11.55,22866460
HIMX,"Himax Technologies, Inc.",16.23,-11.17,7504107
WOLF,"Wolfspeed, Inc.",43.42,-10.99,7174227
CYD,China Yuchai International Limi,47.91,-10.36,325553
NVTS,Navitas Semiconductor Corporati,20.5,-10.28,29479585
SA,"Seabridge Gold, Inc.",25.06,-9.86,1979569
BE,Bloom Energy Corporation,234.23,-9.78,15389312
PRIM,Primoris Services Corporation,93.88,-9.64,3212619
DNTH,"Dianthus Therapeutics, Inc.",76.42,-9.64,4705437
AA,Alcoa Corporation,65.55,-9.47,6520947
AMSC,American Superconductor Corpora,36.78,-9.25,1798817
TNGX,"Tango Therapeutics, Inc.",28.68,-9.13,9828698
