symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
RGTI,"Rigetti Computing, Inc.",26.42,4.38,19.87,202766492,30509044,8781976576
NVDA,NVIDIA Corporation,215.33,-4.18,-1.9,166941160,171318169,5215507972096
QBTS,D-Wave Quantum Inc.,29.4,3.66,14.22,133923761,28253319,10891087872
NOK,Nokia Corporation Sponsored,15.47,1.29,9.1,126178313,84675636,86361800704
F,Ford Motor Company,14.93,1.26,9.22,109226862,56413033,59491463168
AAL,"American Airlines Group, Inc.",13.85,0.26,1.91,98670397,67297098,9160184832
NIO,NIO Inc.,5.2,-0.4,-7.14,87510267,40961646,13029468160
ACHR,Archer Aviation Inc.,6.36,0.24,3.92,79189482,32997720,4851821056
INTC,Intel Corporation,119.84,1.34,1.13,81852556,117614917,602315816960
PLUG,"Plug Power, Inc.",3.78,0.0,0.0,70334451,82484436,5273360896
QUBT,Quantum Computing Inc.,12.31,0.9,7.89,67044470,16608488,2776335872
BBAI,"BigBear.ai, Inc.",4.18,-0.02,-0.48,64142806,35788593,2002008576
INFQ,"Infleqtion, Inc.",16.35,1.65,11.22,65204876,7751782,3567519232
FUTU,Futu Holdings Limited,89.76,-34.1,-27.53,61157167,1693012,12583858176
TE,T1 Energy Inc.,8.08,-0.64,-7.34,61920045,20429534,2256512768
ONDS,Ondas Inc,9.06,-0.12,-1.31,58615820,73404001,4491610112
BB,BlackBerry Limited,7.91,1.26,18.95,56157873,15894828,4635745280
SOFI,"SoFi Technologies, Inc.",15.62,-0.03,-0.19,57055585,66086112,20036417536
RDW,Redwire Corporation,17.49,2.14,13.94,51568951,25504974,3479088384
NU,Nu Holdings Ltd.,12.73,-0.43,-3.27,49278985,54058601,61889961984
IONQ,"IonQ, Inc.",63.64,4.75,8.07,52367331,29091077,23754899456
NVTS,Navitas Semiconductor Corporati,29.25,4.87,19.98,49877107,29164006,6836110336
HPQ,HP Inc.,25.24,3.34,15.25,45907332,18221395,23169929216
TSLA,"Tesla, Inc.",426.01,8.16,1.95,45068466,62062252,1599975981056
MDLN,Medline Inc.,37.01,-0.09,-0.24,42541954,7252304,31295885312
