symbol,shortName,price,changePct,volume
ONDS,Ondas Inc,11.61,-14.51,92502909
LUNR,"Intuitive Machines, Inc.",33.83,-14.51,16280778
MLYS,"Mineralys Therapeutics, Inc.",25.06,-13.14,8177494
EOSE,"Eos Energy Enterprises, Inc.",8.2,-12.95,20588906
XNDU,Xanadu Quantum Technologies Lim,14.8,-12.58,5226259
INFQ,"Infleqtion, Inc.",17.41,-12.38,24636704
SMR,NuScale Power Corporation,12.27,-12.04,52136988
HAWK,"HawkEye 360, Inc.",25.91,-11.84,1613225
COMP,"Compass, Inc.",7.61,-11.82,28071990
OKLO,Oklo Inc.,65.21,-11.24,22243263
FLNC,"Fluence Energy, Inc.",24.85,-10.96,12680761
CRCL,"Circle Internet Group, Inc.",90.13,-10.63,15945415
PL,Planet Labs PBC,43.13,-10.31,13710107
RGTI,"Rigetti Computing, Inc.",24.095,-10.36,76384260
VOYG,"Voyager Technologies, Inc.",44.96,-9.99,2088253
