symbol,shortName,price,changePct,volume
ABVX,Abivax SA,90.15,24.34,7147928
NVTS,Navitas Semiconductor Corporati,30.84,19.26,110660093
MMED,"MiniMed Group, Inc.",14.26,15.93,2964552
POET,POET Technologies Inc.,15.38,11.29,54982585
VGNT,Versigent PLC,49.81,10.3,2824907
TPL,Texas Pacific Land Corporation,406.76,9.69,484125
TGTX,"TG Therapeutics, Inc.",40.11,9.47,3622000
BRKR,Bruker Corporation,62.7,9.4,4374828
STRL,"Sterling Infrastructure, Inc.",957.03,9.31,1043212
PRAX,"Praxis Precision Medicines, Inc",278.93,8.08,675866
MDGL,"Madrigal Pharmaceuticals, Inc.",488.15,7.79,261264
NN,NextNav Inc.,21.57,7.58,3681258
MRNA,"Moderna, Inc.",49.06,7.49,6750360
APGE,"Apogee Therapeutics, Inc.",84.19,6.96,1065930
SNDK,Sandisk Corporation,1831.5,6.71,11560004
