symbol,regPrice,postPrice,postChange,direction
AVGO,479.23,418.32,-12.71,DOWN
CRWD,747.61,668.24,-10.62,DOWN
MRVL,301.65,281.25,-6.76,DOWN
SMCI,47.42,44.65,-5.83,DOWN
ARM,411.83,391.11,-5.03,DOWN
ORCL,230.33,219.64,-4.64,DOWN
NET,265.33,254.08,-4.24,DOWN
IREN,65.48,62.86,-4.0,DOWN
AI,10.71,11.07,3.32,UP
CRWV,110.93,107.47,-3.12,DOWN
PATH,11.67,11.31,-3.08,DOWN
ASTS,107.73,104.5,-2.99,DOWN
AMD,542.52,526.68,-2.92,DOWN
DELL,421.08,409.0,-2.87,DOWN
SNDK,1831.5,1782.94,-2.65,DOWN
QCOM,250.01,243.41,-2.64,DOWN
OKLO,65.21,63.5,-2.62,DOWN
NOW,117.9,114.84,-2.6,DOWN
MU,1079.57,1053.78,-2.39,DOWN
SNOW,241.28,235.51,-2.39,DOWN
MDB,368.32,359.75,-2.33,DOWN
GTLB,30.93,30.23,-2.26,DOWN
RIVN,18.27,17.86,-2.24,DOWN
HOOD,82.85,81.0,-2.23,DOWN
