symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
PCG,Pacific Gas & Electric Co.,13.27,-3.33,-20.06,153622033,22527573,29225410560
CNH,CNH Industrial N.V.,11.83,0.15,1.28,103166413,13008333,19024517120
NVDA,NVIDIA Corporation,220.78,3.23,1.48,124033835,140227025,5331174293504
NU,Nu Holdings Ltd.,14.55,0.25,1.75,95268474,77200680,70286524416
AAL,"American Airlines Group, Inc.",13.43,-0.21,-1.54,68752848,105969715,8890256384
INTC,Intel Corporation,89.51,0.04,0.04,64515383,117017876,473159270400
SPCX,Space Exploration Technologies ,143.69,2.19,1.55,62883865,113629159,1894090014720
PATH,"UiPath, Inc.",18.67,0.52,2.87,60064021,67399234,9673305088
TSLA,"Tesla, Inc.",367.95,19.2,5.51,61157428,41278333,1453236027392
ABEV,Ambev S.A.,2.87,0.01,0.35,48483779,28227911,44255391744
NIO,NIO Inc.,4.23,-0.14,-3.2,44498855,27310849,10598971392
BAC,Bank of America Corporation,61.94,-0.38,-0.61,43377733,33413079,433130831872
SNAP,Snap Inc.,5.55,0.12,2.21,42381321,41508812,9386147840
NOK,Nokia Corporation Sponsored,10.14,-0.07,-0.69,44394733,95702850,56770260992
PURR,Hyperliquid Strategies Inc,12.25,0.64,5.51,40334050,15829249,2423510528
AAPL,Apple Inc.,316.85,-2.85,-0.89,40667429,54939019,4624166158336
ROIV,Roivant Sciences Ltd.,34.64,-0.07,-0.2,39465505,5570826,25021267968
IREN,IREN LIMITED,37.115,1.67,4.7,39403071,45501782,13264110592
CDE,"Coeur Mining, Inc.",20.78,-0.35,-1.66,38664921,38159819,21360490496
BMNR,"BitMine Immersion Technologies,",25.32,1.52,6.39,41181680,39065007,15273691136
PLUG,"Plug Power, Inc.",2.16,-0.03,-1.37,34995021,57208126,3017942016
SLB,SLB Limited,60.1,2.77,4.83,35079742,13274707,89197002752
BTG,B2Gold Corp,5.48,-0.18,-3.18,34662022,24499526,7239467520
CSGP,"CoStar Group, Inc.",32.07,-0.15,-0.47,33460843,7058812,12994686976
STNE,StoneCo Ltd.,9.7,-0.01,-0.05,33045967,4312249,2236777472
