symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
MARUTI,130798,94846,35952,37.91,304641,139161.54825,190797765891,162010.05716,22848.50891,12950
NIFTYFPI,49,38,11,28.95,19,85.9848,25357277,86.44757,0.46277,1562
FINNIFTY,8298,6508,1790,27.5,16426,3045.85276,25983459829,5409.65106,2363.79829,26003
ATHERENERG,27012,22006,5006,22.75,68322,46921.7928,40598127888,59070.49668,12148.70388,1725
NIFTY,12043441,9961843,2081598,20.9,377797825,1018687.85278,591497476377932,7759347.9121,6740660.05932,24055
BAJAJ-AUTO,52763,44523,8240,18.51,168554,93556.13575,149353688226,116298.31802,22742.18226,12361
MAHABANK,5918,5003,915,18.29,4317,6106.0259,1827594860,6507.7545,401.7286,82
POLYCAB,40296,34245,6051,17.67,53831,87573.09622,52992469737,96317.2936,8744.19737,8895
KEI,21101,18227,2874,15.77,33979,47967.19361,27774963104,53582.37465,5615.18104,5348
UNOMINDA,14377,12588,1789,14.21,18118,21463.83354,11068520892,24093.84246,2630.00892,1274
ADANIENSOL,53423,46903,6520,13.9,63870,100455.01159,54224182822,112468.94982,12013.93822,1382
ADANIENT,105934,94379,11555,12.24,119438,131493.30704,98142209809,150344.71564,18851.40859,2863
KALYANKJIL,53556,48003,5553,11.57,83723,80120.68033,60648289177,96580.06461,16459.38427,573
ASHOKLEY,54379,49463,4916,9.94,51319,82249.0255,37645518650,88782.962,6533.9365,170
RADICO,11410,10415,995,9.55,10764,17661.48264,5652682797,18426.93561,765.45297,4474
MUTHOOTFIN,49524,45232,4292,9.49,40279,34655.2613,30380554657,40210.24537,5554.98407,2905
M&M,106040,97325,8715,8.95,96100,62225.00326,58849874716,70971.25042,8746.24716,3259
MIDCPNIFTY,78477,72161,6316,8.75,99250,40664.49033,174280497891,55513.38925,14848.89891,14813
INDIGO,76850,71035,5815,8.19,64865,44424.96166,45251577028,51777.63195,7352.67028,5052
LTF,36301,33655,2646,7.86,17484,37401.19942,8800781220,39148.62412,1747.4247,309
BRITANNIA,31370,29166,2204,7.56,12447,11068.55917,7138199417,11811.92835,743.36917,5187
PRESTIGE,19456,18124,1332,7.35,11312,13122.45112,6857725432,14675.26545,1552.81432,1570
AUROPHARMA,32220,30131,2089,6.93,20972,22594.83836,17827917827,25946.51664,3351.67827,1683
HEROMOTOCO,47734,44755,2979,6.66,94066,61505.6847,75309121627,74253.15097,12747.46627,5555
NATIONALUM,42280,39782,2498,6.28,16471,21720.74962,10039540275,23734.71487,2013.96525,372
SUNPHARMA,73865,69573,4292,6.17,60423,35476.77602,38268194055,39688.03657,4211.26055,1929
SHRIRAMFIN,57523,54317,3206,5.9,29797,43065.11855,22858201830,47186.74686,4121.6283,1059
VMM,18204,17198,1006,5.85,7475,12515.06561,2791583370,13195.36056,680.29495,106
TITAN,57847,54654,3193,5.84,82487,47903.32067,68057909664,54959.56732,7056.24664,5050
ABB,24778,23416,1362,5.82,15190,21753.95331,12045452300,23706.10131,1952.148,7396
TMPV,107938,102059,5879,5.76,60017,34266.6232,27769715968,38810.98288,4544.35968,310
CUMMINSIND,39203,37077,2126,5.73,8946,20586.77874,7248540156,21523.1803,936.40156,5105
SBICARD,43180,40842,2338,5.72,41813,41201.82096,18000421072,44192.03168,2990.21072,632
ABCAPITAL,21159,20029,1130,5.64,8131,25632.94272,7708460465,26871.24237,1238.29965,394
MPHASIS,22482,21323,1159,5.44,21210,24834.80579,12548806814,28006.44893,3171.64314,2505
EICHERMOT,56342,53505,2837,5.3,44855,39050.4973,32462987012,43031.76742,3981.27012,7970
SAGILITY,10810,10325,485,4.7,5423,4823.0532,2656035840,5453.8116,630.7584,46
PIIND,37754,36068,1686,4.67,11287,11882.69713,3665753196,12472.72909,590.03196,2397
TIINDIA,16421,15712,709,4.51,4458,3570.22056,2173220180,3885.12236,314.9018,2763
KFINTECH,17640,16912,728,4.3,4793,6991.32673,1970694699,7397.93873,406.61199,937
BSE,146317,140364,5953,4.24,91941,67060.29018,55413771914,78357.40932,11297.11914,3242
NAM-INDIA,16150,15498,652,4.21,5197,12715.11206,2721628412,13252.27118,537.15912,1178
SBIN,228837,219624,9213,4.19,97340,81277.476,69718579380,90399.7698,9122.2938,1034
SUPREMEIND,18534,17805,729,4.09,8306,9018.23863,4473345047,9814.52661,796.28797,3605
BHEL,47756,45878,1878,4.09,22828,39656.18685,22641116610,44584.29045,4928.1036,426
BDL,44338,42647,1691,3.97,23330,15793.04398,11455557508,18163.91906,2370.87508,1250
POWERINDIA,40319,38832,1487,3.83,16829,21043.87862,12444434937,23248.35299,2204.47437,32640
BIOCON,33487,32264,1223,3.79,9320,12371.29675,8489712150,13635.29325,1263.9965,401
CONCOR,26417,25459,958,3.76,8115,10035.895,4374555900,10955.3915,919.4965,514
BANKNIFTY,987125,951364,35761,3.76,1800189,395514.1947,3101883791349,667559.31819,272045.12349,57409
PERSISTENT,45216,43659,1557,3.57,87071,51476.96647,59286384286,64064.55933,12587.59286,5800
360ONE,13224,12781,443,3.47,4621,6845.2393,2114093075,7121.97005,276.73075,1165
ADANIPOWER,85631,82784,2847,3.44,66763,67752.44154,43953620609,74946.21763,7193.77609,204
KAYNES,51338,49710,1628,3.27,39585,36309.42748,19013543175,41057.60923,4748.18175,3600
TVSMOTOR,71119,68960,2159,3.13,120855,125677.34907,80366983210,139382.30617,13704.9571,4203
HAVELLS,23710,23016,694,3.02,6102,12851.7186,2473279160,13205.3102,353.5916,1222
NIFTYNXT50,754,732,22,3.01,230,2266.83035,196102116,2287.85151,21.02116,72874
RVNL,41909,40704,1205,2.96,10854,4720.96413,4148898773,5385.41811,664.45398,208
PFC,114701,111455,3246,2.91,24475,18747.98601,9595011192,20246.59793,1498.61192,345
GMRAIRPORT,36347,35409,938,2.65,8716,9970.44723,5010888057,10710.20805,739.76082,94
SHREECEM,18817,18333,484,2.64,3910,4313.88382,2014208167,4495.09049,181.20667,23490
HCLTECH,87479,85236,2243,2.63,86152,41741.39036,43447490656,50334.41692,8593.02656,1351
PAYTM,49017,47788,1229,2.57,26326,44740.25793,28202433075,50898.75368,6158.49575,1633
CGPOWER,32922,32114,808,2.52,12507,18725.921,7885036951,20180.90051,1454.97951,885
GODREJCP,45931,44814,1117,2.49,10191,8354.473,3878608680,8984.5598,630.0868,905
MANAPPURAM,31447,30683,764,2.49,7285,17104.335,5899506540,18210.3504,1106.0154,337
CHOLAFIN,30702,29957,745,2.49,8739,34649.39618,6685995193,35756.97312,1107.57693,1814
COALINDIA,116447,113667,2780,2.45,36641,24100.62687,17839267618,26268.62305,2167.99618,401
YESBANK,53453,52185,1268,2.43,9289,12423.59786,5381070347,13145.66833,722.07047,22
ZYDUSLIFE,19166,18720,446,2.38,9100,21387.636,7691760036,22727.19636,1339.56036,1167
RBLBANK,18041,17625,416,2.36,5814,12765.58597,5971518568,13828.04416,1062.45818,380
ASIANPAINT,60878,59495,1383,2.32,20473,14877.22065,11975199010,16477.96075,1600.7401,2575
IRFC,35141,34357,784,2.28,6566,4538.98086,2621746368,4945.81354,406.83268,82
SONACOMS,17966,17580,386,2.2,8918,15684.5407,7640165860,16983.28681,1298.7461,809
TECHM,44829,43881,948,2.16,17616,24884.19288,15153376026,27684.67314,2800.48026,1638
HDFCBANK,987601,967294,20307,2.1,552695,203589.27251,242829181185,235473.30436,31884.03185,711
PNBHOUSING,19837,19430,407,2.09,3702,8414.10635,2018298366,8758.44001,344.33366,1152
DMART,52724,51657,1067,2.07,16872,17260.62582,8129996248,18410.5633,1149.93748,3824
LT,127587,125018,2569,2.05,38962,29670.72571,25000947940,32960.30512,3289.5794,3980
DABUR,44801,43913,888,2.02,8920,6667.27475,3727441962,7165.50687,498.23212,384
