symbol,shortName,price,changePct,volume
LIF,"Life360, Inc.",48.61,-24.76,4220790
ONON,On Holding AG,30.91,-20.29,42211459
HUBG,"Hub Group, Inc.",38.0,-19.75,4534939
ETOR,eToro Group Ltd.,29.33,-13.74,4193380
NYAX,Nayax Ltd.,53.87,-13.11,86764
TME,Tencent Music Entertainment Gro,8.72,-11.92,27459585
FA,First Advantage Corporation,21.17,-10.26,9079508
DFTX,"Definium Therapeutics, Inc.",40.91,-9.39,3354784
UAA,"Under Armour, Inc.",5.34,-9.03,14880990
UA,"Under Armour, Inc.",5.2,-8.45,3958870
ESLT,Elbit Systems Ltd.,776.08,-8.27,233600
AMTM,"Amentum Holdings, Inc.",22.43,-8.22,6554249
MIDD,The Middleby Corporation,119.99,-7.91,1330339
ALMS,Alumis Inc.,25.37,-7.85,1322618
VG,"Venture Global, Inc.",13.22,-7.29,21777073
