symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
GANDHAR,EQ,283,46.81,  19.82,20,283.42,268.22,283.42,115,251.46579,704.808316212
ASIANTILES,EQ,52.1,8.68,  19.99,20,52.1,42.92,79.06,42.5,532.04405,264.372688445
PANAMAPET,EQ,502.7,45.7,  10.00,10,502.7,470.2,512.05,229,15.10185,75.048643575
CPPLUS,EQ,3618.6,172.3,   5.00,5,3618.6,3450,3866,1015,1.9411,69.24757783999999
MON100,EQ,328.84,5.4,   1.67,20,328.84,328.84,342.55,195.15,4.17324,13.723282416
BLISSGVS,BE,462.85,14.75,   3.29,5,470.5,450,553,118,2.21683,10.294736837
UFBL,EQ,670,3.25,   0.49,5,700.05,645.15,763.35,172.34,1.48069,10.108078354
RAJESHEXPO,BZ,89,-0.25,  -0.28,5,93.71,88,237.88,72.63,9.1502,8.45752986
TAC,SM,529.9,25.2,   4.99,5,529.9,506.05,899.65,347.4,1.444,7.5980392
ICELCO,ST,171,1.55,   0.91,5,177.9,170,183,151.45,3.732,6.5825016
E2E,EQ,492.1,23.4,   4.99,5,492.1,492.1,492.1,183.36,1.14305,5.62494905
MAFANG,EQ,197.77,1.5,   0.76,20,197.77,197.59,208.38,148.5,2.25072,4.4510238719999995
VIVIDEL,ST,1270.5,60.5,   5.00,5,1270.5,1181,1429,556,0.3072,3.8427340799999996
TECHNVISN,EQ,4429.9,738.3,  20.00,20,4429.9,3798.9,6198,3222.8,0.08664,3.729834672
BHAGYANGR,BE,403.6,19.2,   4.99,5,403.6,382.1,432.3,85.62,0.84379,3.3492556469999997
MAHKTECH,EQ,23.33,-0.22,  -0.93,20,23.8,23.25,35.59,21,12.91586,3.032643928
MENONBE,BE,218,10.32,   4.97,5,218.06,208,220.13,101.5,1.37438,2.977456832
TIPSFILMS,EQ,375.1,62.5,  19.99,20,375.1,316.25,574.1,276.75,0.70611,2.598202356
FAIRCHEMOR,BE,773.6,36.8,   4.99,5,773.6,741.2,964,428.05,0.27124,2.0785392440000003
SEJALLTD,BE,769.25,36.6,   5.00,5,769.25,750,1036.7,381,0.24952,1.919232984
