symbol,shortName,price,changePct,volume
ZS,"Zscaler, Inc.",191.73,16.52,7515078
TENB,"Tenable Holdings, Inc.",35.08,16.51,11793542
NTSK,"Netskope, Inc.",17.0,15.65,13459507
RBRK,"Rubrik, Inc.",100.2,15.64,5432057
SAIL,"SailPoint, Inc.",19.88,15.31,9481963
QLYS,"Qualys, Inc.",172.91,15.06,1092288
S,"SentinelOne, Inc.",22.61,14.48,16336264
CRWD,"CrowdStrike Holdings, Inc.",235.38,13.85,25215907
PANW,"Palo Alto Networks, Inc.",373.94,13.09,11850739
RBLX,Roblox Corporation,51.29,12.73,18606396
OKTA,"Okta, Inc.",186.45,11.98,6600721
IOT,Samsara Inc.,42.91,11.8,10059361
RUM,RUM Group Inc.,8.0,11.58,25810047
HUBS,"HubSpot, Inc.",250.61,11.22,1470927
MNDY,monday.com Ltd.,96.105,10.67,1685749
