symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NOK,Nokia Corporation Sponsored,9.65,-1.48,-13.3,124885200,85435858,54026919936
NVDA,NVIDIA Corporation,210.96,-7.33,-3.36,131608711,132087064,5094050889728
INTC,Intel Corporation,97.19,-5.75,-5.59,95866322,110321322,513756561408
ONDS,Ondas Inc,7.23,0.0,0.0,84088291,81296800,4131617280
AAL,"American Airlines Group, Inc.",13.1,0.09,0.69,79719605,99168595,8671806464
SPCX,Space Exploration Technologies ,148.15,-3.06,-2.02,67544758,102549824,1951755665408
BAC,Bank of America Corporation,59.47,-3.22,-5.14,61683436,32281717,415858753536
PATH,"UiPath, Inc.",14.66,0.91,6.62,61268387,70330166,7640138240
MARA,"MARA Holdings, Inc.",11.5,-0.48,-4.01,52759182,47180808,4442441728
PLUG,"Plug Power, Inc.",2.06,-0.04,-1.9,52799943,54986361,2878222080
NU,Nu Holdings Ltd.,14.41,-0.21,-1.44,48566518,77625887,69610225664
BMNR,"BitMine Immersion Technologies,",25.76,0.73,2.92,43754288,39088630,15539110912
RIG,Transocean Ltd (Switzerland),5.45,-0.22,-3.88,42263310,40956561,6086996480
GRAB,Grab Holdings Limited,3.02,-0.03,-0.98,41032107,47256190,12355731456
BZ,KANZHUN LIMITED - American Depo,15.45,-0.99,-6.02,40686903,4910696,6920950784
SMCI,"Super Micro Computer, Inc.",36.74,-3.36,-8.38,39661769,50030814,23766116352
ORCL,Oracle Corporation,144.79,-5.49,-3.65,41975932,32337727,417063370752
T,AT&T Inc.,26.51,0.45,1.73,38340628,60117959,181656748032
OPEN,Opendoor Technologies Inc,2.79,0.0,0.0,38227100,55979632,2691615232
PCG,Pacific Gas & Electric Co.,13.6,-0.2,-1.45,38225344,31791746,29952192512
AAPL,Apple Inc.,333.08,0.81,0.24,38702066,54055456,4861029515264
KVUE,Kenvue Inc.,17.91,0.13,0.73,36894979,21835208,34401054720
SMR,NuScale Power Corporation,8.51,-0.1,-1.16,37000408,32801377,3492414976
CMCSA,Comcast Corporation,24.88,-0.32,-1.27,36440859,32362141,88290074624
IREN,IREN LIMITED,43.17,-0.66,-1.51,35057858,43477387,17011511296
