symbol,shortName,price,changePct,volume
SOLS,Solstice Advanced Materials Inc,68.05,-15.14,12419127
RGC,Regencell Bioscience Holdings L,5.61,-11.93,563318
AAP,Advance Auto Parts Inc.,56.33,-8.45,1977865
ULS,UL Solutions Inc.,89.27,-7.96,1868155
SPHR,Sphere Entertainment Co.,151.51,-7.5,705017
FRHC,Freedom Holding Corp.,150.25,-7.38,192753
AVAV,"AeroVironment, Inc.",176.84,-7.36,2378671
RKLB,Rocket Lab Corporation,93.09,-7.34,19323960
ZIM,ZIM Integrated Shipping Service,23.71,-7.27,4776036
SLS,"SELLAS Life Sciences Group, Inc",13.94,-6.94,9703889
OLLI,Ollie's Bargain Outlet Holdings,69.17,-6.79,3481108
ORLY,"O'Reilly Automotive, Inc.",84.24,-6.66,15330903
CAVA,"CAVA Group, Inc.",71.91,-6.46,3646819
LNTH,"Lantheus Holdings, Inc.",102.82,-6.43,1003265
IMAX,Imax Corporation,37.33,-6.39,1395191
