symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
APOLLO,APOLLOEQN,356.55,4.65,73859367,73859367,26519205721.35,340.7,08-Sep-2025,,369.4,130.73,15.85,340.75,356.7,369.4,340.75,2026-05-20 16:00:28
MTARTECH,MTARTECHEQN,7420,8.96,3004369,3004369,21720055641.81,6810,04-Aug-2023,,7730,1390.5,610,6769.5,7457,7520,6700,2026-05-20 16:00:28
BSE,BSEEQN,4232,0.98,4697677,4697677,19693554542.63,4190.8,10-Jul-2026,,4298.9,2021.5,41.2,4170,4218.6,4232,4150,2026-05-20 16:00:28
ICICIBANK,ICICIBANKEQN,1236.5,-0.35,14953103,14953103,18430297571.62,1240.8,12-Aug-2025,,1500,1187.6,-4.3,1230,1237.3,1239.7,1223.3,2026-05-20 16:00:28
HDFCBANK,HDFCBANKEQN,760.1,-0.31,24013451,24013451,18231011999.2,762.45,19-Jun-2026,,1020.5,726.65,-2.35,759.6,759.5,762.25,755.15,2026-05-20 16:00:28
INFY,INFYEQN,1190,-0.58,15121010,15121010,18075201723.7,1196.9,10-Jun-2026,,1728,1089,-6.9,1187,1193.7,1206.9,1184.9,2026-05-20 16:00:28
GPIL,GPILEQN,303,4.28,57813833,57813833,17892225036.84,290.55,14-Aug-2025,,320,175.37,12.45,299.95,305.85,320,291.5,2026-05-20 16:00:28
RELIANCE,RELIANCEEQN,1360.3,2.84,13248515,13248515,17822299833.45,1322.7,14-Aug-2025,,1611.8,1290,37.6,1318.7,1359.7,1362.9,1312.6,2026-05-20 16:00:28
ZYDUSLIFE,ZYDUSLIFEEQN,1040.3,2.1,13503459,13503459,14436818086.08,1018.9,24-Jul-2026,,1093.65,835.5,21.4,1066.15,1040.85,1093.65,1038.05,2026-05-20 16:00:28
HINDALCO,HINDALCOEQN,1085,3.5,11945517,11945517,12909759132.24,1048.3,08-Aug-2025,,1105,618,36.7,1038.4,1085.5,1090,1038.4,2026-05-20 16:00:28
GVT&D,GVT&DEQN,4695,7.06,2742590,2742590,12797720291.1,4385.3,22-Aug-2025,,4849,1730.2,309.7,4450,4679.4,4799.9,4414.3,2026-05-20 16:00:28
ENRIN,ENRINEQN,3484,10.13,3683159,3683159,12456591064.36,3163.5,30-Jan-2026,,3625,2115,320.5,3149.7,3459.6,3494,3139.9,2026-05-20 16:00:28
IDEA,IDEAEQN,13.56,0.3,900186913,900186913,12188530802.02,13.52,20-Aug-2024,,13.68,6.12,0.04,13.44,13.58,13.68,13.32,2026-05-20 16:00:28
TATASTEEL,TATASTEELEQN,207,-1.09,56670462,56670462,11608944140.7,209.29,06-Jun-2025,,224.4,149.8,-2.29,207.5,207.01,207.5,203.04,2026-05-20 16:00:28
BEL,BELEQN,413.35,-2.27,28012723,28012723,11540121367.08,422.95,06-Mar-2026,,473.45,340.8,-9.6,416.3,413.3,420,407,2026-05-20 16:00:28
SBIN,SBINEQN,950,0.13,11928460,11928460,11286708852,948.8,15-May-2026,,1234.7,779.1,1.2,941.1,950.9,955,935,2026-05-20 16:00:28
BHARTIARTL,BHARTIARTLEQN,1908.2,-0.28,5778742,5778742,11008676872.26,1913.5,18-Jul-2025,,2174.5,1740.5,-5.3,1914,1904.9,1914,1897.7,2026-05-20 16:00:28
MANKIND,MANKINDEQN,2580.9,3.54,4089986,4089986,10492572783.98,2492.6,08-Aug-2025,,2716.5,1909.7,88.3,2501,2583.9,2625,2500,2026-05-20 16:00:28
DREDGECORP,DREDGECORPEQN,1082,7.69,8954182,8954182,9919621903.24,1004.7,19-Sep-2024,,1245,538,77.3,1040,1088,1155,1035.2,2026-05-20 16:00:28
POWERINDIA,POWERINDIAEQN,35700,7.01,252759,252759,8794946557.02,33360,13-Aug-2025,,35790,15427,2340,33000,35525,35790,32710,2026-05-20 16:00:28
