symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
INTC,Intel Corporation,118.96,8.16,7.36,161635367,117079762,597892923392
NVDA,NVIDIA Corporation,223.47,2.86,1.3,171145403,170582196,5412560568320
TE,T1 Energy Inc.,8.7,1.82,26.45,103629698,18041883,2429661184
AAL,"American Airlines Group, Inc.",12.95,0.89,7.38,85266626,66319114,8564937728
NOK,Nokia Corporation Sponsored,13.62,-0.05,-0.37,74548046,85106827,76034113536
NU,Nu Holdings Ltd.,12.79,0.5,4.07,58361053,53663314,62181666816
PLUG,"Plug Power, Inc.",3.31,0.0,0.0,58947153,82303326,4617678336
MARA,"MARA Holdings, Inc.",13.15,0.71,5.71,51324469,47307814,5013706752
POET,POET Technologies Inc.,14.78,1.71,13.08,50682729,33220788,2257071360
RDW,Redwire Corporation,14.77,0.86,6.18,52107513,24745547,2938029568
CCL,Carnival Corporation Ltd.,26.03,2.14,8.96,48976045,28623411,36055183360
ACHR,Archer Aviation Inc.,5.78,-0.13,-2.2,46783958,32256414,4409359360
MU,"Micron Technology, Inc.",731.99,33.25,4.76,47387564,45501273,825490014208
SOFI,"SoFi Technologies, Inc.",15.69,0.46,3.02,43843697,66719080,20126210048
NIO,NIO Inc.,5.59,-0.15,-2.61,41997773,39907365,14006679552
RIVN,"Rivian Automotive, Inc.",13.73,0.83,6.43,41665270,27596706,18437556224
T,AT&T Inc.,24.93,-0.05,-0.2,40327863,39819040,173222084608
ONDS,Ondas Inc,9.36,0.23,2.58,42584619,74177868,4640338432
CLSK,"CleanSpark, Inc.",15.4,0.71,4.83,40885055,20170814,3951772416
IREN,IREN LIMITED,52.71,4.97,10.41,43985987,39832408,18837430272
TSLA,"Tesla, Inc.",417.26,13.15,3.25,44903311,62655642,1567113347072
BAC,Bank of America Corporation,51.23,0.53,1.05,36766593,39081747,363558338560
GRAB,Grab Holdings Limited,3.51,0.01,0.29,39777570,49733086,14355899392
NVTS,Navitas Semiconductor Corporati,22.99,3.56,18.32,37010539,28886183,5373065728
BB,BlackBerry Limited,6.2,-0.01,-0.16,35845766,15372875,3633580544
