symbol,shortName,price,changePct,volume
ACAD,ACADIA Pharmaceuticals Inc.,22.18,-12.78,6638324
GEN,Gen Digital Inc.,23.07,-12.05,32094457
GIL,"Gildan Activewear, Inc.",40.63,-12.04,8892385
VKTX,"Viking Therapeutics, Inc.",36.75,-11.76,28574672
KGC,Kinross Gold Corporation,24.42,-11.59,19721014
MGM,MGM Resorts International,33.69,-10.99,19746455
QURE,uniQure N.V.,38.32,-10.38,4222261
FSLR,"First Solar, Inc.",172.16,-10.32,6336163
FSLY,"Fastly, Inc.",26.68,-10.02,17314699
EQPT,EquipmentShare.com Inc,16.32,-9.73,9109985
ALM,Almonty Industries Inc.,12.4,-8.96,6774511
DAN,Dana Incorporated,27.35,-7.91,2110192
ARM,Arm Holdings plc,306.34,-7.88,9485249
IMNM,"Immunome, Inc.",22.34,-7.84,2697377
DK,"Delek US Holdings, Inc.",66.91,-7.4,5166521
