changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-28906,01-Sep-2026,Index Options,30163,2.4,Put,-48.94,507.93962,4.7,59069,23400,NIFTY,507.93962,SS,24207.75,268538,OPTIDXNIFTY01-09-2026PE23400,OPTIDX,-48.94
-12665,01-Sep-2026,Index Options,62338,0.75,Put,-40,60.73187,1.25,75003,22000,NIFTY,60.73187,SS,24207.75,107395,OPTIDXNIFTY01-09-2026PE22000,OPTIDX,-16.89
-11498,01-Sep-2026,Index Options,32755,2.05,Put,-48.1,411.08443,3.95,44253,23300,NIFTY,411.08443,SS,24207.75,253991,OPTIDXNIFTY01-09-2026PE23300,OPTIDX,-25.98
-3453,01-Sep-2026,Index Options,44448,3.4,Put,-43.8,1127.93312,6.05,47901,23600,NIFTY,1127.93312,SS,24207.75,430591,OPTIDXNIFTY01-09-2026PE23600,OPTIDX,-7.21
-3069,01-Sep-2026,Index Options,25399,1.75,Put,-50,290.23764,3.5,28468,23200,NIFTY,290.23764,SS,24207.75,202045,OPTIDXNIFTY01-09-2026PE23200,OPTIDX,-10.78
-2043,01-Sep-2026,Index Options,14968,1.35,Put,-37.21,73.97958,2.15,17011,22800,NIFTY,73.97958,SS,24207.75,69825,OPTIDXNIFTY01-09-2026PE22800,OPTIDX,-12.01
-1867,01-Sep-2026,Index Options,56917,181.85,Call,-18.58,82861.12049,223.35,58784,24200,NIFTY,82861.12049,SS,24207.75,573479,OPTIDXNIFTY01-09-2026CE24200,OPTIDX,-3.18
-1365,29-Dec-2026,Index Options,12956,84.55,Put,-4.03,348.03169,88.1,14321,22500,NIFTY,348.03169,SS,24207.75,6427,OPTIDXNIFTY29-12-2026PE22500,OPTIDX,-9.53
-1087,29-Sep-2026,Index Options,10142,415,Put,-32.22,2102.61518,612.3,11229,57400,BANKNIFTY,2102.61518,SS,57783.75,16593,OPTIDXBANKNIFTY29-09-2026PE57400,OPTIDX,-9.68
-887,29-Sep-2026,Index Options,18673,80,Put,-2.62,1087.53986,82.15,19560,23800,NIFTY,1087.53986,SS,24207.75,23319,OPTIDXNIFTY29-09-2026PE23800,OPTIDX,-4.53
-841,29-Sep-2026,Stock Futures,80188,15.16,-,-1.17,64705.28826,15.34,81029,0,IDEA,64705.28826,SS,15.06,5948,FUTSTKIDEA29-09-2026XX0,FUTSTK,-1.04
-796,27-Oct-2026,Index Options,2930,67,Put,-1.76,158.68914,68.2,3726,23300,NIFTY,158.68914,SS,24207.75,3855,OPTIDXNIFTY27-10-2026PE23300,OPTIDX,-21.36
-740,01-Sep-2026,Index Options,3311,438.75,Call,-9.76,2808.68363,486.2,4051,23900,NIFTY,2808.68363,SS,24207.75,8847,OPTIDXNIFTY01-09-2026CE23900,OPTIDX,-18.27
-641,29-Sep-2026,Stock Options,2696,611.35,Put,-3.08,941.69614,630.8,3337,14500,DIXON,941.69614,SS,14735,3223,OPTSTKDIXON29-09-2026PE14500,OPTSTK,-19.21
-577,29-Sep-2026,Stock Options,1373,56.05,Call,-3.45,478.3155,58.05,1950,5500,INDIGO,478.3155,SS,5250.5,4940,OPTSTKINDIGO29-09-2026CE5500,OPTSTK,-29.59
-559,29-Sep-2026,Stock Options,293,4.7,Put,-43.37,25.43082,8.3,852,2700,ADANIENT,25.43082,SS,3112,1547,OPTSTKADANIENT29-09-2026PE2700,OPTSTK,-65.61
-479,29-Sep-2026,Stock Options,329,6.5,Put,-50.38,69.424,13.1,808,1320,CDSL,69.424,SS,1434,1869,OPTSTKCDSL29-09-2026PE1320,OPTSTK,-59.28
-393,29-Sep-2026,Index Options,1429,152.15,Put,-4.46,447.43035,159.25,1822,14900,MIDCPNIFTY,447.43035,SS,14948.05,2721,OPTIDXMIDCPNIFTY29-09-2026PE14900,OPTIDX,-21.57
-385,29-Sep-2026,Stock Options,347,1.1,Put,-52.17,22.1392,2.3,732,480,LICHSGFIN,22.1392,SS,524.4,1616,OPTSTKLICHSGFIN29-09-2026PE480,OPTSTK,-52.6
-365,29-Sep-2026,Index Options,11258,1924.4,Put,-16.08,1904.25222,2293.05,11623,60000,BANKNIFTY,1904.25222,SS,57783.75,3338,OPTIDXBANKNIFTY29-09-2026PE60000,OPTIDX,-3.14
-304,29-Sep-2026,Stock Options,669,7.05,Put,-16.57,25.42144,8.45,973,2800,MCX,25.42144,SS,3350,1281,OPTSTKMCX29-09-2026PE2800,OPTSTK,-31.24
-297,01-Sep-2026,Index Options,3774,1.9,Put,-49.33,70.34248,3.75,4071,23250,NIFTY,70.34248,SS,24207.75,45280,OPTIDXNIFTY01-09-2026PE23250,OPTIDX,-7.3
-293,29-Sep-2026,Index Options,7561,960.3,Call,-5.84,968.49626,1019.9,7854,23500,NIFTY,968.49626,SS,24207.75,1425,OPTIDXNIFTY29-09-2026CE23500,OPTIDX,-3.73
-283,29-Sep-2026,Stock Options,892,16.45,Put,-23.49,178.79642,21.5,1175,2900,ADANIENT,178.79642,SS,3112,3469,OPTSTKADANIENT29-09-2026PE2900,OPTSTK,-24.09
-282,29-Sep-2026,Index Options,10143,387.45,Put,-31.81,1072.45581,568.2,10425,57300,BANKNIFTY,1072.45581,SS,57783.75,9073,OPTIDXBANKNIFTY29-09-2026PE57300,OPTIDX,-2.71
