symbol,shortName,price,changePct,volume
BTDR,Bitdeer Technologies Group,8.695,-20.08,31524273
AXTI,AXT Inc,73.81,-16.67,18399293
COHR,Coherent Corp.,325.15,-14.24,9280866
SIMO,Silicon Motion Technology Corpo,230.61,-9.96,2911781
NYAX,Nayax Ltd.,62.0,-9.95,27191
LASR,"nLIGHT, Inc.",51.005,-9.17,2909429
XE,"X-Energy, Inc.",20.64,-8.87,4245128
MXL,"MaxLinear, Inc",68.44,-8.72,2935111
CVSA,Covista Inc.,128.71,-8.7,356048
LITE,Lumentum Holdings Inc.,813.51,-8.61,6050448
FLR,Fluor Corporation,52.25,-8.33,4565457
VAC,Marriott Vacations Worldwide Co,113.24,-8.29,544462
OKLO,Oklo Inc.,44.49,-8.12,14092459
SLS,"SELLAS Life Sciences Group, Inc",11.04,-8.08,5134631
DJT,Trump Media & Technology Group ,9.39,-8.03,6366979
