symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
OBEROIRLTY,41904,25483,16421,64.44,176716,64005.65482,115320182652,79418.59135,15412.93652,1931
VOLTAS,71293,47803,23490,49.14,215201,97448.32728,97330681638,109846.06867,12397.74138,1267
MOTILALOFS,19102,14356,4746,33.06,145224,59036.00893,102754447623,74157.37516,15121.36623,955
SUPREMEIND,25381,21254,4127,19.42,55147,23129.32377,33183408917,27637.28794,4507.96417,3590
BSE,190482,165449,25033,15.13,372005,193491.01816,239487731734,227069.5355,33578.51734,3332
KFINTECH,19497,17156,2341,13.65,41385,24217.01993,20963023055,27289.19548,3072.17555,973
BDL,55715,49145,6570,13.37,107953,42643.67567,61528502169,52163.44736,9519.77169,1380
BAJAJHLDNG,7671,6809,862,12.66,12428,7866.44244,10178405219,9082.69464,1216.25219,11379
KEI,23855,21450,2405,11.21,62661,25519.64114,62210682262,32848.66376,7329.02262,5873
SUNPHARMA,96721,87359,9362,10.72,53742,51423.45344,31574884246,53955.82591,2532.37246,1882
NIFTY,9351600,8473638,877962,10.36,125203687,678779.44759,198366925974308,4245703.64818,3566924.20058,24287
HAL,120666,110529,10137,9.17,243505,82057.14639,181893135109,107807.79748,25750.65109,5059
UNOMINDA,18436,17003,1433,8.43,20587,20737.52142,12441186334,21973.14476,1235.62334,1269
PATANJALI,60110,56406,3704,6.57,73179,34790.397,24913367315,38938.77265,4148.37565,353
MAXHEALTH,47684,44803,2881,6.43,34865,18120.5914,17191501220,20131.3761,2010.7847,1003
BANKNIFTY,1350074,1268588,81486,6.42,3682538,406898.79176,6359945837261,721608.08437,314709.29261,57497
PRESTIGE,21648,20355,1293,6.35,10919,17348.99989,6267444147,18133.95136,784.95147,1591
DMART,58381,54923,3458,6.3,23525,36463.45774,10846111812,37360.10086,896.64312,3995
FINNIFTY,27481,25863,1618,6.26,52188,2396.89468,82796832694,5797.55163,3400.65694,26217
NAM-INDIA,17912,16859,1053,6.25,12059,17092.84918,7407937875,18158.10293,1065.25375,1202
AMBER,52722,49750,2972,5.97,103913,37120.09873,74030538284,45733.08157,8612.98284,7259
SONACOMS,22601,21350,1251,5.86,27760,36952.77976,24368127353,39909.67079,2956.89103,805
DRREDDY,60700,57436,3264,5.68,32337,36721.87087,20734620818,38617.51656,1895.64568,1192
PHOENIXLTD,17658,16732,926,5.53,11367,15265.34313,6257402063,15870.11377,604.77063,1929
BIOCON,39195,37147,2048,5.51,19000,32378.512,16914648650,34410.3735,2031.8615,412
NAUKRI,40744,38646,2098,5.43,34441,40326.27511,22150477657,43127.40168,2801.12657,1355
TVSMOTOR,81783,77644,4139,5.33,60880,38305.47192,43183869459,42898.72902,4593.25709,4385
PFC,120509,114588,5921,5.17,41756,73331.56766,13700545963,74353.64729,1022.07963,374
ADANIPOWER,79103,75247,3856,5.12,47578,40374.81598,31852978606,44403.53454,4028.71856,203
GMRAIRPORT,37760,36088,1672,4.63,12146,12944.49446,7627000331,13673.57377,729.07931,101
HAVELLS,27957,26783,1174,4.38,27385,16147.53495,16510954190,18085.97685,1938.4419,1299
UNITDSPR,31376,30063,1313,4.37,11066,11637.12176,5665408520,12197.68696,560.5652,1545
ITC,237476,227658,9818,4.31,78858,49412.64052,33449325804,52113.79232,2701.15179,273
DLF,81364,78243,3121,3.99,50552,40121.58294,28777449580,43957.98874,3836.4058,671
BRITANNIA,33833,32556,1277,3.92,16119,14584.61767,9884495605,15254.13622,669.51855,5521
KALYANKJIL,69076,66515,2561,3.85,58115,42737.22675,45382349358,51778.38033,9041.15358,610
SBILIFE,30591,29540,1051,3.56,9354,12687.73301,5179731285,13086.42086,398.68785,1790
ONGC,68895,66599,2296,3.45,43766,46944.25222,19225806322,48813.8967,1869.64447,238
ZYDUSLIFE,27514,26612,902,3.39,19983,20707.54992,18927593640,22490.44632,1782.8964,1131
POWERINDIA,69444,67179,2265,3.37,29372,18547.57722,24667509657,20778.92379,2231.34657,35450
