symbol,shortName,price,changePct,volume
DSC,DSC Holdings Ltd.,5.77,-20.41,205756
BLD,TopBuild Corp.,359.76,-15.45,844621
SNEX,StoneX Group Inc.,115.85,-14.45,2595091
HWKN,"Hawkins, Inc.",141.4,-12.49,273878
BGC,"BGC Group, Inc.",10.45,-8.73,6767610
MRX,Marex Group plc,58.94,-8.24,1522383
YSS,York Space Systems Inc.,24.11,-8.19,1122297
SMCI,"Super Micro Computer, Inc.",28.15,-8.1,87654934
ARX,Accelerant Holdings,12.63,-8.08,1916525
CPRT,"Copart, Inc.",28.1,-8.02,18091494
VC,Visteon Corporation,94.94,-7.9,1767307
BTDR,Bitdeer Technologies Group,15.86,-7.52,13318606
KNF,Knife Riv Holding Co.,85.99,-7.5,708997
BOOT,"Boot Barn Holdings, Inc.",164.55,-7.34,1016099
GAP,"Gap, Inc. (The)",18.73,-7.32,15369278
