symbol,shortName,price,changePct,volume
TCOM,Trip.com Group Limited,40.49,-12.55,14373888
RGC,Regencell Bioscience Holdings L,7.49,-12.5,416459
EQPT,EquipmentShare.com Inc,19.69,-11.7,3355262
INOD,Innodata Inc.,73.18,-10.26,2310975
NUVB,Nuvation Bio Inc.,5.81,-10.06,24825400
HONAV,Honeywell Aerospace Inc. Common Stock When Issued,221.01,-9.79,43906
FIG,"Figma, Inc.",16.84,-9.66,24932457
MSTR,Strategy Inc,85.33,-9.44,44502644
INFQ,"Infleqtion, Inc.",12.79,-9.29,15660342
DUOL,"Duolingo, Inc.",119.94,-9.24,1725838
JEF,Jefferies Financial Group Inc.,52.64,-9.15,6723767
NVA,Nova Minerals Corp,5.3,-9.09,484957
ESTC,Elastic N.V.,53.6,-8.7,2756810
TEAM,Atlassian Corporation,74.68,-8.38,6150293
TNK,Teekay Tankers Ltd.,70.28,-7.94,478710
