changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
68159,28-Jul-2026,Stock Futures,215654,1037,-,-1.23,432584.81068,1049.9,147495,0,INFY,432584.81068,RS,1042.9,103631,FUTSTKINFY28-07-2026XX0,FUTSTK,46.21
66451,30-Jun-2026,Index Options,162383,58.7,Call,-21,241101.99066,74.3,95932,24200,NIFTY,241101.99066,RS,24056,3724906,OPTIDXNIFTY30-06-2026CE24200,OPTIDX,69.27
49536,28-Jul-2026,Stock Futures,177722,2065.2,-,-0.83,335167.6378,2082.4,128186,0,TCS,335167.6378,RS,2095.9,71071,FUTSTKTCS28-07-2026XX0,FUTSTK,38.64
48532,30-Jun-2026,Index Options,96468,105.4,Put,-36.62,151130.45393,166.3,47936,24100,NIFTY,151130.45393,RS,24056,2671589,OPTIDXNIFTY30-06-2026PE24100,OPTIDX,101.24
45398,30-Jun-2026,Index Options,74869,161.15,Put,-28.47,217304.29207,225.3,29471,24200,NIFTY,217304.29207,RS,24056,2807005,OPTIDXNIFTY30-06-2026PE24200,OPTIDX,154.04
41082,30-Jun-2026,Index Options,91587,1.25,Call,-32.43,360.83833,1.85,50505,25200,NIFTY,360.83833,RS,24056,336446,OPTIDXNIFTY30-06-2026CE25200,OPTIDX,81.34
40282,30-Jun-2026,Index Options,97018,2.1,Call,-53.33,1516.86726,4.5,56736,24800,NIFTY,1516.86726,RS,24056,629014,OPTIDXNIFTY30-06-2026CE24800,OPTIDX,71
37553,30-Jun-2026,Index Options,66259,43.55,Call,-25.49,84689.73396,58.45,28706,24250,NIFTY,84689.73396,RS,24056,1620546,OPTIDXNIFTY30-06-2026CE24250,OPTIDX,130.82
34848,30-Jun-2026,Index Options,133585,31.15,Call,-31.76,80968.85435,45.65,98737,24300,NIFTY,80968.85435,RS,24056,2107384,OPTIDXNIFTY30-06-2026CE24300,OPTIDX,35.29
33033,28-Jul-2026,Stock Futures,81964,1080,-,-1.3,188196.44232,1094.2,48931,0,HCLTECH,188196.44232,RS,1100.5,43062,FUTSTKHCLTECH28-07-2026XX0,FUTSTK,67.51
29605,28-Jul-2026,Stock Futures,75247,1383.6,-,-0.47,297813.45275,1390.1,45642,0,AXISBANK,297813.45275,RS,1377.2,34276,FUTSTKAXISBANK28-07-2026XX0,FUTSTK,64.86
28634,30-Jun-2026,Index Options,51459,22.55,Call,-36.48,26565.31433,35.5,22825,24350,NIFTY,26565.31433,RS,24056,947374,OPTIDXNIFTY30-06-2026CE24350,OPTIDX,125.45
28481,30-Jun-2026,Index Options,161640,2,Put,-68.5,1718.86076,6.35,133158,23000,NIFTY,1718.86076,RS,24056,736602,OPTIDXNIFTY30-06-2026PE23000,OPTIDX,21.39
28113,28-Jul-2026,Stock Futures,65102,982.4,-,-0.89,251170.5087,991.25,36989,0,BAJFINANCE,251170.5087,RS,981.4,33799,FUTSTKBAJFINANCE28-07-2026XX0,FUTSTK,76
28008,28-Jul-2026,Stock Futures,96748,171.59,-,-0.05,244080.3288,171.68,68740,0,WIPRO,244080.3288,RS,175.09,47432,FUTSTKWIPRO28-07-2026XX0,FUTSTK,40.74
25774,28-Jul-2026,Stock Futures,57558,256.5,-,-0.62,179426.59462,258.1,31784,0,ETERNAL,179426.59462,RS,255,28733,FUTSTKETERNAL28-07-2026XX0,FUTSTK,81.09
25052,30-Jun-2026,Index Options,98779,16.4,Call,-39.71,28533.65496,27.2,73727,24400,NIFTY,28533.65496,RS,24056,1379137,OPTIDXNIFTY30-06-2026CE24400,OPTIDX,33.98
22366,28-Jul-2026,Stock Futures,57551,189.4,-,-1.15,140096.95975,191.61,35185,0,TATASTEEL,140096.95975,RS,188.6,26834,FUTSTKTATASTEEL28-07-2026XX0,FUTSTK,63.57
22220,30-Jun-2026,Index Options,30501,131.2,Put,-32.8,130365.86185,195.25,8281,24150,NIFTY,130365.86185,RS,24056,1971909,OPTIDXNIFTY30-06-2026PE24150,OPTIDX,268.33
21795,28-Jul-2026,Stock Futures,51826,354.35,-,-1.46,133909.116,359.6,30031,0,NTPC,133909.116,RS,352.5,24970,FUTSTKNTPC28-07-2026XX0,FUTSTK,72.58
21067,30-Jun-2026,Index Options,55581,78.1,Call,-16.07,165899.11171,93.05,34514,24150,NIFTY,165899.11171,RS,24056,2110904,OPTIDXNIFTY30-06-2026CE24150,OPTIDX,61.04
21005,30-Jun-2026,Index Options,182749,9,Call,-44.79,19146.26892,16.3,161744,24500,NIFTY,19146.26892,RS,24056,1622909,OPTIDXNIFTY30-06-2026CE24500,OPTIDX,12.99
20902,30-Jun-2026,Index Options,121419,102.45,Call,-10.48,220960.242,114.45,100517,24100,NIFTY,220960.242,RS,24056,2386373,OPTIDXNIFTY30-06-2026CE24100,OPTIDX,20.79
19653,30-Jun-2026,Index Options,41754,6.65,Call,-47.22,4842.43523,12.6,22101,24550,NIFTY,4842.43523,RS,24056,551436,OPTIDXNIFTY30-06-2026CE24550,OPTIDX,88.92
19511,28-Jul-2026,Stock Futures,47941,14.18,-,-1.94,213274.60987,14.46,28430,0,IDEA,213274.60987,RS,14.05,20925,FUTSTKIDEA28-07-2026XX0,FUTSTK,68.63
