symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
HFCL,EQ,215,10.23,   5.00,5,215,209.51,220.09,59.82,234.41205,502.67320001999997
VISL,BE,30.88,1.47,   5.00,5,30.88,29.77,30.88,19.06,373.72424,114.210127744
SIGMAADV,BE,625,17.25,   2.84,5,638.1,582.3,638.1,81.61,7.85927,49.147944945
STLTECH,BE,613.35,29.2,   5.00,5,613.35,600,679.9,84.6,6.17087,37.835455231
GNRL,EQ,101.85,16.97,  19.99,20,101.85,83.2,105.05,83.2,36.44362,35.711103238
ABINFRA,EQ,11.66,0.69,   6.29,20,13.16,10.97,23.56,8.82,284.01396,34.536097536
JAYBARMARU,EQ,167.5,7.67,   4.80,5,167.82,158,178.89,71.01,11.88893,19.573934352000002
VENUSREM,BE,1947.1,92.7,   5.00,5,1947.1,1800,1947.1,416,0.77666,14.823488091999998
INDOTECH,BE,2985,79.7,   2.74,5,3050.5,2900,3050.5,1100,0.47038,14.111635190000001
SOMICONVEY,EQ,114,16.19,  16.55,20,117.37,97.18,172.78,85.5,7.95316,9.167607532
MON100,EQ,325.82,-10.48,  -3.12,20,325.82,325.82,342.55,179.11,2.34856,7.652078192
BTTL,EQ,51,8.21,  19.19,20,51.34,45,51.34,30,12.78228,6.283768847999999
FAZE3Q,EQ,625,5.9,   0.95,5,650.05,610,747.95,322.1,0.96883,6.205065501
MADHUSUDAN,SM,213.3,19.35,   9.98,10,213.3,192.9,213.3,108.6,2.37,4.947849
SWANDEF,BE,2229,85.9,   4.01,5,2250.2,2102,2489,197.46,0.20675,4.461892425
BHAGYANGR,BE,392.15,18.65,   4.99,5,392.15,357.2,415.2,76.84,1.12769,4.287026304
RPSGVENT,EQ,889.75,31.85,   3.71,5,900.75,858.15,1179,551.9,0.45484,4.061220876
VIPULLTD,EQ,12.98,0.61,   4.93,5,12.98,11.85,13.69,7.38,26.07191,3.342418862
GOLDTECH,EQ,51.88,8.64,  19.98,20,51.88,43.24,80.44,29.68,6.38535,3.209915445
AUTOIND,BE,88.2,3.88,   4.60,5,88.53,84,93.14,48.35,3.1296,2.74528512
EMPOWER,BE,2.28,0.1,   4.59,5,2.28,2.2,2.82,1.3,85.18209,1.925115234
HEXAGON,BE,57.49,2.73,   4.99,5,57.49,57.49,57.49,48.1,3.21307,1.847193943
PATILAUTOM,ST,209.45,9.95,   4.99,5,209.45,203.1,268.9,112.05,0.774,1.6115454
MAFANG,EQ,186.57,-4.33,  -2.27,20,186.57,186.57,208.38,132.03,0.86274,1.609614018
BNAGROCHEM,BE,275,9.9,   3.73,5,278.35,270,394.8,224,0.51993,1.44228582
SSFL,ST,254.4,12.1,   4.99,5,254.4,242.3,254.4,86,0.485,1.23093
RMDRIP,EQ,19.45,0.07,   0.36,5,20.34,19.41,72.22,14.81,5.7836,1.1451528
KANORICHEM,BE,132.3,6.3,   5.00,5,132.3,122,132.3,56,0.78148,1.025536204
MAHKTECH,EQ,21.42,-0.7,  -3.16,20,21.42,21.42,35.59,20.51,4.31803,0.924922026
HOACFOODS,ST,680,12.5,   1.87,5,700.85,670,700.85,190.2,0.12375,0.847600875
PRIMECAB,ST,116.85,2.85,   2.50,5,119.7,116.8,136.7,70.4,0.656,0.7787376
FILATFASH,BE,0.19,0,   0.00,5,0.2,0.19,0.74,0.14,362.30563,0.6883806969999999
FROG,ST,167.9,7.8,   4.87,5,168.1,164.75,277,123.5,0.36,0.603684
GRADIENTE,EQ,2.97,0.14,   4.95,5,2.97,2.71,9.4,2.08,18.60105,0.548730975
PRAMARA,SM,130.65,2.95,   2.31,5,134.05,125.5,374.8,117.65,0.415,0.536595
OILCOUNTUB,BE,59,1.65,   2.88,5,60.21,56.2,99.67,35.65,0.91628,0.533549844
ACSTECH,EQ,44.83,2.13,   4.99,5,44.83,44.83,44.83,31.71,1.18919,0.5331138769999999
MRIL,ST,71.4,3.4,   5.00,5,71.4,69,82,29.05,0.752,0.5325664
OWAIS,ST,119.5,5.65,   4.96,5,119.5,109.6,608.3,88.1,0.448,0.5222784
MANAKSTEEL,BE,73.9,1.46,   2.02,5,76.06,70.7,87.13,45.11,0.6689,0.5024776799999999
MASPTOP50,EQ,76.51,-1.29,  -1.66,20,76.51,76.51,82.78,52.9,0.61741,0.472380391
MONQ50,EQ,143.78,-2.38,  -1.63,20,143.78,143.78,147.03,71.26,0.32439,0.466407942
KOTYARK,BE,45.45,2.15,   4.97,5,45.45,43.3,45.45,17.38,1.01742,0.461501712
PATINTLOG,BE,15.96,0.76,   5.00,5,15.96,15.96,18.51,8.01,2.7538,0.43950648
BIKEWO,ST,34.1,0.95,   2.87,5,34.8,32.95,35,13.65,0.8,0.27464
SAJHOTELS,SM,34.4,5.7,  19.86,20,34.4,31,80.25,27.2,0.8,0.26784
HITECHGEAR,BE,641.65,30.55,   5.00,5,641.65,612,897.45,521.25,0.04124,0.26419581200000003
DHARAN,BZ,0.17,0.01,   6.25,5,0.17,0.16,0.61,0.11,164.45489,0.263127824
AVATAR,ST,164.85,7.05,   4.47,5,165.65,150,165.65,40.05,0.16,0.250656
SHETHJI,ST,155.5,7.4,   5.00,5,155.5,152.7,185,95.5,0.15,0.231345
ROXHITECH,ST,37.3,1.75,   4.92,5,37.3,36.9,55,22.95,0.544,0.2026944
GJL,ST,205.75,8.95,   4.55,5,206.6,195,276.45,91.4,0.096,0.1967712
UCL,ST,185.9,8.45,   4.76,5,186.3,185.9,186.3,38,0.1,0.18601
ESCONET,ST,129.55,6.15,   4.98,5,129.55,129.4,280,91.25,0.104,0.1347008
AAKAAR,SM,74.1,0.8,   1.09,5,76.95,74.1,105,46,0.176,0.1339888
EPWINDIA,ST,191.35,9.1,   4.99,5,191.35,191.35,191.35,98,0.06,0.11481
ACCORD,ST,133.25,6.3,   4.96,5,133.25,133.25,133.25,19.85,0.08,0.1066
PAVNAIND,BE,18.04,0.85,   4.94,5,18.04,16.9,46.96,14.11,0.54248,0.097049672
DUGLOBAL,ST,38.15,1.8,   4.95,5,38.15,35.9,50,26.5,0.25,0.093875
SONUINFRA,ST,56.05,2.65,   4.96,5,56.05,55.5,139.4,38,0.165,0.0923505
BAFNAPH,BE,194.68,9.27,   5.00,5,194.68,194.68,213.36,73.01,0.0417,0.08118156
VCL,EQ,1.32,0.12,  10.00,10,1.32,1.23,2.66,0.8,6.24222,0.080524638
MHHL,SM,35.35,1.6,   4.74,5,35.4,34.45,62.65,29.2,0.225,0.0793575
FORGEAUTO,SM,92.4,4.4,   5.00,5,92.4,92.4,175.5,68.45,0.084,0.077616
NGIL,BE,37,0.4,   1.09,5,38.43,36,43.89,22.01,0.20596,0.076905464
VIJIFIN,BE,5.46,0.26,   5.00,5,5.46,5.46,5.46,2,1.40586,0.076759956
BONLON,EQ,44.09,2.07,   4.93,5,44.12,42.11,57,34.51,0.17395,0.075268165
DIVYADHAN,ST,47.9,1.85,   4.02,5,48.35,47,62.4,18.25,0.14,0.067228
SEMAC,BE,353,16.8,   5.00,5,353,331.2,568.9,205,0.01937,0.066714154
GTECJAINX,BE,29.34,1.39,   4.97,5,29.34,28.99,38.35,15.54,0.19646,0.057444904000000005
BANKA,BE,94.4,2.57,   2.80,5,96.42,89.5,97.88,41,0.05348,0.048148044
DHANSA,ST,21,0.55,   2.69,5,21.45,20.45,48.3,16.2,0.2,0.04224
BAWEJA,ST,29.9,1.4,   4.91,5,29.9,27.75,75.7,21.1,0.12,0.034872
SIGNORIA,ST,105.85,5,   4.96,5,105.85,105.85,123,53.1,0.03,0.031755
SNEHAA,ST,44,1.5,   3.53,5,44.6,43,122,35.5,0.07,0.030877
IBLFL,SM,57.2,2.7,   4.95,5,57.2,54.5,74,43.95,0.04,0.02234
MTEDUCARE,BE,2.3,0.07,   3.14,5,2.34,2.14,2.55,1.17,0.80646,0.018709872
FMNL,BE,11.07,0.16,   1.47,5,11.45,10.5,19.1,6.74,0.17078,0.018393006
PARAMPARA,SM,11.35,0.45,   4.13,5,11.4,11.35,12,5.75,0.16,0.018192
SANWARIA,BZ,0.22,0.01,   4.76,2,0.22,0.21,0.4,0.19,7.71572,0.016203012
PROLIFE,SM,75.8,3.6,   4.99,5,75.8,74.9,165,56.05,0.02,0.015114
WALPAR,SM,25.25,1.2,   4.99,5,25.25,24,51.5,21.25,0.06,0.014646
SUPERSPIN,BE,5.46,0.26,   5.00,5,5.46,5.14,11.75,3.79,0.22192,0.011783952
SABEVENTS,BE,8.49,0.35,   4.30,5,8.54,8.24,18.25,5.6,0.12269,0.010379574
CAPTRUST,BE,12.9,0.58,   4.71,5,12.93,12.29,52.94,10.98,0.06956,0.008861944
