symbol,shortName,price,changePct,volume
DPC,,46.88,42.06,18047620
SNDK,Sandisk Corporation,2335.0,21.53,14790307
TECH,Bio-Techne Corp,70.7,20.08,51348792
BB,BlackBerry Limited,10.34,19.95,70161578
AYI,Acuity Inc.,359.39,17.64,1442575
KYMR,"Kymera Therapeutics, Inc.",116.46,16.61,3856806
NRIX,"Nurix Therapeutics, Inc.",22.46,16.37,5325756
MU,"Micron Technology, Inc.",1213.56,15.81,79552392
SLS,"SELLAS Life Sciences Group, Inc",10.53,14.83,14947456
AMAT,"Applied Materials, Inc.",668.0,13.42,16034625
UCTT,"Ultra Clean Holdings, Inc.",120.66,11.29,1496910
MXL,"MaxLinear, Inc",94.47,11.17,4001171
ABCL,AbCellera Biologics Inc.,6.66,10.54,11828062
TER,"Teradyne, Inc.",471.96,10.47,6668117
GLW,Corning Incorporated,228.01,10.78,22855398
