symbol,regPrice,postPrice,postChange,direction
MRNA,174.38,182.31,4.55,UP
CRCL,78.59,81.0,3.07,UP
HOOD,95.77,98.69,3.05,UP
COIN,160.2,165.07,3.04,UP
COIN,160.2,165.01,3.0,UP
