symbol,shortName,price,changePct,volume
DY,"Dycom Industries, Inc.",529.13,25.84,1350136
LUNR,"Intuitive Machines, Inc.",40.34,15.72,29577850
IREN,IREN LIMITED,67.84,13.48,83983541
MANU,Manchester,22.22,12.68,1026496
PENN,"PENN Entertainment, Inc.",19.09,11.9,6643073
ONDS,Ondas Inc,10.8,10.54,91632360
CBRS,Cerebras Systems Inc.,266.9,10.42,6371718
APP,Applovin Corporation,567.83,10.42,8259081
CORT,Corcept Therapeutics Incorporat,66.65,10.42,1721509
COHU,"Cohu, Inc.",54.94,10.03,2333616
TEO,Telecom Argentina SA,13.98,9.73,1785263
BBWI,"Bath & Body Works, Inc.",19.45,9.7,16958081
NIO,NIO Inc.,5.75,9.32,91827253
CIFR,Cipher Digital Inc.,25.16,9.3,31752853
MGM,MGM Resorts International,41.95,9.1,9953341
