symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
COALINDIA,COALINDIAEQN,463.6,1.19,117042535,117042535,52746388823.1,458.15,18-Feb-2026,,491.25,368.65,5.45,429,463.05,468.3,428.4,2026-05-27 16:00:30
HDFCBANK,HDFCBANKEQN,759.15,-2.54,63680153,63680153,48535102212.01,778.9,19-Jun-2026,,1020.5,726.65,-19.75,769.5,758.65,773.9,756.9,2026-05-27 16:00:30
ATGL,ATGLEQN,813.2,14.04,57324845,57324845,44530512844.45,713.1,12-Jun-2026,,830,462.8,100.1,719.8,808.55,830,714.05,2026-05-27 16:00:30
JPPOWER,JPPOWEREQN,22.95,19.97,1285571409,1285571409,28436839567.08,19.13,26-Aug-2024,,27.7,13.15,3.82,19.23,22.87,22.95,19.18,2026-05-27 16:00:30
ICICIBANK,ICICIBANKEQN,1272.5,-0.52,18366272,18366272,23471177302.4,1279.1,12-Aug-2025,,1500,1187.6,-6.6,1286,1272.7,1293.4,1266.7,2026-05-27 16:00:30
ADANIPOWER,ADANIPOWEREQN,249.43,2,85859567,85859567,21363577460.94,244.53,22-Sep-2025,,252.65,105.42,4.9,247.6,248.91,252.65,245.5,2026-05-27 16:00:30
APOLLO,APOLLOEQN,417,1.19,44512706,44512706,18815075699.14,412.1,08-Sep-2025,,433.8,136.5,4.9,412.9,417.85,433.8,408.05,2026-05-27 16:00:30
BSE,BSEEQN,4249.9,-3.48,4332377,4332377,18790125581.78,4403.3,10-Jul-2026,,4446.8,2021.5,-153.4,4437,4248.4,4446.8,4236.1,2026-05-27 16:00:30
RELIANCE,RELIANCEEQN,1352,-0.32,13215138,13215138,17901490237.56,1356.3,14-Aug-2025,,1611.8,1290,-4.3,1353,1350.5,1361,1348.6,2026-05-27 16:00:30
BHARTIARTL,BHARTIARTLEQN,1847.4,0.03,8653155,8653155,16045458784.95,1846.9,18-Jul-2025,,2174.5,1740.5,0.5,1840.4,1852.2,1869.4,1840.4,2026-05-27 16:00:30
HFCL,HFCLEQN,173.2,7.05,79961509,79961509,13672618423.91,161.8,08-Sep-2025,,176.44,59.82,11.4,162.49,173.92,176.44,161.19,2026-05-27 16:00:30
SUZLON,SUZLONEQN,57.75,5.81,227745007,227745007,12819766444.03,54.58,03-Sep-2024,,74.3,38.19,3.17,54.85,57.53,58.1,54.42,2026-05-27 16:00:30
PINELABS,PINELABSEQN,146.5,6.21,86728367,86728367,12224363328.65,137.94,,,284,134.73,8.56,140.65,145.83,147.31,134.73,2026-05-27 16:00:30
ADANIENSOL,ADANIENSOLEQN,1546,5.65,7841736,7841736,11976212888.64,1463.3,14-Jun-2024,,1558.8,744.9,82.7,1485,1540.1,1558.8,1475.1,2026-05-27 16:00:30
ADANIENT,ADANIENTEQN,2972.8,0.12,3826916,3826916,11398775459.28,2969.3,12-Jun-2026,,3027.5,1753,3.5,2982,2973.1,3027.5,2944,2026-05-27 16:00:30
ZEEL,ZEELEQN,90.84,9.74,122229243,122229243,11114305065.99,82.78,29-Aug-2025,,151.7,68,8.06,83.7,91.46,92.99,83.18,2026-05-27 16:00:30
POWERINDIA,POWERINDIAEQN,37430,3.99,284794,284794,10547733109.84,35995,13-Aug-2025,,37695,16111,1435,36220,37550,37695,35985,2026-05-27 16:00:30
CUMMINSIND,CUMMINSINDEQN,6069,12.01,1722262,1722262,10056339485.86,5418.5,11-Feb-2026,,6099,2915.6,650.5,5414,6027.5,6099,5402.5,2026-05-27 16:00:30
ADANIGREEN,ADANIGREENEQN,1490.2,2.25,6509853,6509853,9729756490.86,1457.4,14-Jun-2024,,1518,765,32.8,1472,1489.9,1518,1467,2026-05-27 16:00:30
MCX,MCXEQN,3155,-4.6,2992806,2992806,9646083090.54,3307.3,02-Jan-2026,,3480,1278.1,-152.3,3312,3158.5,3322.7,3150.8,2026-05-27 16:00:30
